設立別,學校所在地別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
國立,新北市,491,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0
國立,臺北市,1370,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,5,2,0.95,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.29,0.07,0,0,0.36,0.15
國立,桃園市,1565,0,0,9,0,0,1,5,3,16,1,0,0,35,15,8,0,0,2,0,6.07,0,0,0.58,0,0,0.06,0.32,0.19,1.02,0.06,0,0,2.24,0.96,0.51,0,0,0.13,0
國立,臺中市,1477,2,0,8,6,0,3,15,2,44,0,2,0,3,0,12,0,0,6,1,7.04,0.14,0,0.54,0.41,0,0.2,1.02,0.14,2.98,0,0.14,0,0.2,0,0.81,0,0,0.41,0.07
國立,臺南市,9922,25,3,114,22,1,21,36,14,129,7,4,0,24,60,141,1,6,37,39,6.89,0.25,0.03,1.15,0.22,0.01,0.21,0.36,0.14,1.3,0.07,0.04,0,0.24,0.6,1.42,0.01,0.06,0.37,0.39
國立,高雄市,4306,9,2,75,5,2,13,6,5,50,2,0,0,18,12,56,1,2,17,28,7.04,0.21,0.05,1.74,0.12,0.05,0.3,0.14,0.12,1.16,0.05,0,0,0.42,0.28,1.3,0.02,0.05,0.39,0.65
國立,宜蘭縣,3533,5,1,11,12,0,17,38,14,97,1,4,1,17,18,21,6,9,22,16,8.77,0.14,0.03,0.31,0.34,0,0.48,1.08,0.4,2.75,0.03,0.11,0.03,0.48,0.51,0.59,0.17,0.25,0.62,0.45
國立,新竹縣,1489,1,0,0,0,0,2,9,0,8,0,0,0,4,4,3,2,2,1,1,2.48,0.07,0,0,0,0,0.13,0.6,0,0.54,0,0,0,0.27,0.27,0.2,0.13,0.13,0.07,0.07
國立,苗栗縣,2926,3,1,21,0,1,5,13,4,34,0,1,0,11,4,34,3,6,18,17,6.02,0.1,0.03,0.72,0,0.03,0.17,0.44,0.14,1.16,0,0.03,0,0.38,0.14,1.16,0.1,0.21,0.62,0.58
國立,彰化縣,8242,28,1,234,2,0,25,86,12,118,3,18,1,62,32,14,2,6,39,66,9.09,0.34,0.01,2.84,0.02,0,0.3,1.04,0.15,1.43,0.04,0.22,0.01,0.75,0.39,0.17,0.02,0.07,0.47,0.8
國立,南投縣,3218,23,0,60,2,0,10,32,9,86,4,1,0,9,20,54,1,3,18,31,11.28,0.71,0,1.86,0.06,0,0.31,0.99,0.28,2.67,0.12,0.03,0,0.28,0.62,1.68,0.03,0.09,0.56,0.96
國立,雲林縣,3359,44,0,47,1,0,14,52,3,43,3,1,0,25,0,36,0,3,8,20,8.93,1.31,0,1.4,0.03,0,0.42,1.55,0.09,1.28,0.09,0.03,0,0.74,0,1.07,0,0.09,0.24,0.6
國立,嘉義縣,940,9,0,17,0,0,5,8,2,29,0,0,1,7,6,36,0,2,2,8,14.04,0.96,0,1.81,0,0,0.53,0.85,0.21,3.09,0,0,0.11,0.74,0.64,3.83,0,0.21,0.21,0.85
國立,屏東縣,3683,42,0,42,3,5,13,24,13,139,4,1,0,42,12,149,0,2,11,36,14.61,1.14,0,1.14,0.08,0.14,0.35,0.65,0.35,3.77,0.11,0.03,0,1.14,0.33,4.05,0,0.05,0.3,0.98
國立,臺東縣,1249,11,0,8,6,0,4,12,3,35,2,0,0,9,11,56,0,4,5,10,14.09,0.88,0,0.64,0.48,0,0.32,0.96,0.24,2.8,0.16,0,0,0.72,0.88,4.48,0,0.32,0.4,0.8
國立,花蓮縣,1782,10,1,8,10,1,4,25,4,63,0,2,0,25,13,93,0,5,12,23,16.78,0.56,0.06,0.45,0.56,0.06,0.22,1.4,0.22,3.54,0,0.11,0,1.4,0.73,5.22,0,0.28,0.67,1.29
國立,澎湖縣,799,4,0,4,4,0,7,7,3,45,0,0,0,5,3,98,0,1,6,14,25.16,0.5,0,0.5,0.5,0,0.88,0.88,0.38,5.63,0,0,0,0.63,0.38,12.27,0,0.13,0.75,1.75
國立,基隆市,1563,1,0,6,3,1,4,13,11,15,1,2,1,1,6,23,3,0,24,13,8.19,0.06,0,0.38,0.19,0.06,0.26,0.83,0.7,0.96,0.06,0.13,0.06,0.06,0.38,1.47,0.19,0,1.54,0.83
國立,新竹市,2730,0,0,10,0,0,0,15,2,20,2,0,0,0,5,1,0,4,20,5,3.08,0,0,0.37,0,0,0,0.55,0.07,0.73,0.07,0,0,0,0.18,0.04,0,0.15,0.73,0.18
國立,嘉義市,3683,4,0,15,2,0,5,15,0,57,2,1,0,3,6,38,2,0,4,45,5.4,0.11,0,0.41,0.05,0,0.14,0.41,0,1.55,0.05,0.03,0,0.08,0.16,1.03,0.05,0,0.11,1.22
國立,金門縣,565,0,0,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,34,8.67,0,0,0,0,0,0.53,0.71,0,1.42,0,0,0,0,0,0,0,0,0,6.02
國立,連江縣,76,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,新北市,12927,2,0,127,8,3,27,59,33,155,10,5,1,36,78,8,0,11,50,66,5.25,0.02,0,0.98,0.06,0.02,0.21,0.46,0.26,1.2,0.08,0.04,0.01,0.28,0.6,0.06,0,0.09,0.39,0.51
