學程別,學校所在地,畢業生人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,就業率,就農_林_漁_牧業比率,就礦業及土石採取業比率,就製造業比率,就電力及燃氣供應業比率,就用水供應及污染整治業比率,就營造業比率,就批發及零售業比率,就運輸及倉儲業比率,就住宿及餐飲業比率,就資訊及通訊傳播業比率,就金融及保險業比率,就不動產業比率,就專業_科學及技術服務業比率,就支援服務業比率,就公共行政及國防；強制性社會安全比率,就教育服務業比率,就醫療保健及社會工作服務業比率,就藝術_娛樂及休閒服務業比率,就其他服務業比率
縣市立,高雄市,11844,6,1,42,5,0,16,20,2,77,12,2,0,38,6,15,4,0,17,49,2.63,0.05,0.01,0.35,0.04,0,0.14,0.17,0.02,0.65,0.1,0.02,0,0.32,0.05,0.13,0.03,0,0.14,0.41
縣市立,宜蘭縣,104,2,0,0,0,0,1,2,0,1,0,0,1,0,0,26,0,2,3,4,40.38,1.92,0,0,0,0,0.96,1.92,0,0.96,0,0,0.96,0,0,25,0,1.92,2.88,3.85
縣市立,新竹縣,207,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,1,0,1,5.31,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0.97,0,0,0.48,0,0.48
縣市立,苗栗縣,408,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0.25
縣市立,彰化縣,669,1,0,1,0,0,3,1,0,4,0,0,0,0,0,2,1,0,0,0,1.94,0.15,0,0.15,0,0,0.45,0.15,0,0.6,0,0,0,0,0,0.3,0.15,0,0,0
縣市立,南投縣,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0
縣市立,雲林縣,427,5,0,7,0,0,0,12,3,2,0,0,0,0,0,5,0,0,0,0,7.96,1.17,0,1.64,0,0,0,2.81,0.7,0.47,0,0,0,0,0,1.17,0,0,0,0
縣市立,嘉義縣,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,屏東縣,593,1,0,0,0,0,0,2,0,4,0,0,0,0,0,37,0,0,1,2,7.93,0.17,0,0,0,0,0,0.34,0,0.67,0,0,0,0,0,6.24,0,0,0.17,0.34
縣市立,臺東縣,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,16.67
縣市立,花蓮縣,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,446,0,0,14,0,0,0,1,1,3,0,0,0,0,0,2,0,0,0,0,4.71,0,0,3.14,0,0,0,0.22,0.22,0.67,0,0,0,0,0,0.45,0,0,0,0
縣市立,新竹市,855,1,0,0,1,1,0,0,0,3,0,0,1,0,0,2,0,1,2,0,1.4,0.12,0,0,0.12,0.12,0,0,0,0.35,0,0,0.12,0,0,0.23,0,0.12,0.23,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,17122,1,8,226,29,9,120,248,107,963,94,45,12,356,94,26,18,30,199,449,17.72,0.01,0.05,1.32,0.17,0.05,0.7,1.45,0.62,5.62,0.55,0.26,0.07,2.08,0.55,0.15,0.11,0.18,1.16,2.62
私立,臺北市,16210,2,1,22,13,0,49,122,99,708,36,62,21,161,134,12,20,40,224,581,14.23,0.01,0.01,0.14,0.08,0,0.3,0.75,0.61,4.37,0.22,0.38,0.13,0.99,0.83,0.07,0.12,0.25,1.38,3.58
私立,桃園市,16727,25,3,379,55,10,92,234,123,797,121,19,7,354,108,81,14,17,132,343,17.42,0.15,0.02,2.27,0.33,0.06,0.55,1.4,0.74,4.76,0.72,0.11,0.04,2.12,0.65,0.48,0.08,0.1,0.79,2.05
私立,臺中市,21713,46,13,356,30,6,93,246,113,898,56,20,9,240,126,87,5,25,235,448,14.06,0.21,0.06,1.64,0.14,0.03,0.43,1.13,0.52,4.14,0.26,0.09,0.04,1.11,0.58,0.4,0.02,0.12,1.08,2.06
私立,臺南市,11060,26,7,187,24,5,53,91,43,654,27,4,0,161,68,30,8,11,80,261,15.73,0.24,0.06,1.69,0.22,0.05,0.48,0.82,0.39,5.91,0.24,0.04,0,1.46,0.61,0.27,0.07,0.1,0.72,2.36
私立,高雄市,15489,58,10,576,11,7,97,224,100,1035,72,20,6,398,141,261,14,16,207,521,24.37,0.37,0.06,3.72,0.07,0.05,0.63,1.45,0.65,6.68,0.46,0.13,0.04,2.57,0.91,1.69,0.09,0.1,1.34,3.36
私立,宜蘭縣,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新竹縣,3494,7,7,127,4,2,19,32,7,150,22,11,3,69,25,4,3,5,17,54,16.26,0.2,0.2,3.63,0.11,0.06,0.54,0.92,0.2,4.29,0.63,0.31,0.09,1.97,0.72,0.11,0.09,0.14,0.49,1.55
私立,苗栗縣,2874,14,1,102,6,2,50,52,1,267,73,0,5,83,38,25,3,1,68,100,31,0.49,0.03,3.55,0.21,0.07,1.74,1.81,0.03,9.29,2.54,0,0.17,2.89,1.32,0.87,0.1,0.03,2.37,3.48
私立,彰化縣,5219,52,0,165,49,0,39,127,19,303,6,1,1,198,8,47,2,12,14,116,22.21,1,0,3.16,0.94,0,0.75,2.43,0.36,5.81,0.11,0.02,0.02,3.79,0.15,0.9,0.04,0.23,0.27,2.22
私立,南投縣,1359,5,0,9,0,0,11,35,6,137,0,1,1,0,2,8,1,0,3,80,22,0.37,0,0.66,0,0,0.81,2.58,0.44,10.08,0,0.07,0.07,0,0.15,0.59,0.07,0,0.22,5.89
私立,雲林縣,3327,46,1,97,36,2,22,108,17,187,3,0,0,17,21,40,0,5,7,106,21.49,1.38,0.03,2.92,1.08,0.06,0.66,3.25,0.51,5.62,0.09,0,0,0.51,0.63,1.2,0,0.15,0.21,3.19
私立,嘉義縣,2357,44,3,102,5,2,22,33,13,178,18,1,0,119,3,44,2,5,26,100,30.55,1.87,0.13,4.33,0.21,0.08,0.93,1.4,0.55,7.55,0.76,0.04,0,5.05,0.13,1.87,0.08,0.21,1.1,4.24
私立,屏東縣,2677,34,0,54,8,1,62,29,6,238,4,3,0,42,41,77,1,3,31,90,27.05,1.27,0,2.02,0.3,0.04,2.32,1.08,0.22,8.89,0.15,0.11,0,1.57,1.53,2.88,0.04,0.11,1.16,3.36
私立,臺東縣,463,1,0,1,2,0,10,4,0,11,0,0,0,28,0,19,0,0,4,8,19.01,0.22,0,0.22,0.43,0,2.16,0.86,0,2.38,0,0,0,6.05,0,4.1,0,0,0.86,1.73
私立,花蓮縣,1725,3,2,4,2,0,12,35,8,98,2,2,3,21,4,72,0,1,23,38,19.13,0.17,0.12,0.23,0.12,0,0.7,2.03,0.46,5.68,0.12,0.12,0.17,1.22,0.23,4.17,0,0.06,1.33,2.2
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1634,0,0,13,0,0,7,15,10,76,7,1,0,15,41,0,0,1,9,0,11.93,0,0,0.8,0,0,0.43,0.92,0.61,4.65,0.43,0.06,0,0.92,2.51,0,0,0.06,0.55,0
私立,新竹市,3282,1,0,51,5,1,16,44,13,166,17,4,5,90,46,5,3,0,114,22,18.37,0.03,0,1.55,0.15,0.03,0.49,1.34,0.4,5.06,0.52,0.12,0.15,2.74,1.4,0.15,0.09,0,3.47,0.67
私立,嘉義市,2955,28,0,33,1,0,2,92,17,161,2,2,1,43,9,46,0,5,93,27,19.02,0.95,0,1.12,0.03,0,0.07,3.11,0.58,5.45,0.07,0.07,0.03,1.46,0.3,1.56,0,0.17,3.15,0.91
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
