設立別,學校所在地,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
國立,新北市,564,105,0,369,9,0,0,0,0,0,1,6,30,27,96.99,18.62,0,65.43,1.6,0,0,0,0,0,0.18,1.06,5.32,4.79
國立,臺北市,1469,932,55,368,35,0,0,0,0,3,2,2,31,0,97.21,63.44,3.74,25.05,2.38,0,0,0,0,0.2,0.14,0.14,2.11,0
國立,桃園市,7535,3380,38,3493,103,17,0,0,0,4,21,53,29,1,94.74,44.86,0.5,46.36,1.37,0.23,0,0,0,0.05,0.28,0.7,0.38,0.01
國立,臺中市,12327,5936,311,4140,405,4,3,1,5,13,53,79,39,7,89.2,48.15,2.52,33.58,3.29,0.03,0.02,0.01,0.04,0.11,0.43,0.64,0.32,0.06
國立,臺南市,11060,3854,75,5026,602,40,7,3,14,6,47,128,39,0,88.98,34.85,0.68,45.44,5.44,0.36,0.06,0.03,0.13,0.05,0.42,1.16,0.35,0
國立,高雄市,4878,1881,204,1968,208,3,1,3,6,1,34,75,9,2,90.1,38.56,4.18,40.34,4.26,0.06,0.02,0.06,0.12,0.02,0.7,1.54,0.18,0.04
國立,宜蘭縣,4334,818,49,2559,19,6,10,4,1,1,21,42,7,3,81.68,18.87,1.13,59.04,0.44,0.14,0.23,0.09,0.02,0.02,0.48,0.97,0.16,0.07
國立,新竹縣,1570,526,7,944,19,0,0,0,0,0,5,5,1,0,95.99,33.5,0.45,60.13,1.21,0,0,0,0,0,0.32,0.32,0.06,0
國立,苗栗縣,3196,536,190,1995,78,13,1,2,1,1,20,31,1,4,89.89,16.77,5.94,62.42,2.44,0.41,0.03,0.06,0.03,0.03,0.63,0.97,0.03,0.13
國立,彰化縣,9230,2975,182,4149,538,24,12,5,9,6,64,86,10,21,87.55,32.23,1.97,44.95,5.83,0.26,0.13,0.05,0.1,0.07,0.69,0.93,0.11,0.23
