設立別,學校所在地,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
國立,南投縣,3824,711,105,2103,131,7,3,0,20,0,40,64,2,0,83.32,18.59,2.75,54.99,3.43,0.18,0.08,0,0.52,0,1.05,1.67,0.05,0
國立,雲林縣,3701,898,236,1842,71,5,2,7,0,6,40,80,2,2,86.22,24.26,6.38,49.77,1.92,0.14,0.05,0.19,0,0.16,1.08,2.16,0.05,0.05
國立,嘉義縣,1080,163,69,581,33,0,0,0,0,0,21,47,0,0,84.63,15.09,6.39,53.8,3.06,0,0,0,0,0,1.94,4.35,0,0
國立,屏東縣,4437,884,185,2170,117,14,1,1,4,3,69,162,1,1,81.41,19.92,4.17,48.91,2.64,0.32,0.02,0.02,0.09,0.07,1.56,3.65,0.02,0.02
國立,臺東縣,1523,252,4,792,16,16,7,1,1,1,28,24,1,0,75.05,16.55,0.26,52,1.05,1.05,0.46,0.07,0.07,0.07,1.84,1.58,0.07,0
國立,花蓮縣,2240,719,3,876,11,8,1,0,0,1,9,26,1,4,74.06,32.1,0.13,39.11,0.49,0.36,0.04,0,0,0.04,0.4,1.16,0.04,0.18
國立,澎湖縣,915,317,2,295,0,0,1,0,0,0,18,23,0,1,71.8,34.64,0.22,32.24,0,0,0.11,0,0,0,1.97,2.51,0,0.11
國立,基隆市,2500,312,42,1783,47,0,0,6,0,0,1,25,3,0,88.76,12.48,1.68,71.32,1.88,0,0,0.24,0,0,0.04,1,0.12,0
國立,新竹市,2880,1764,118,737,49,5,2,10,17,3,1,5,71,5,96.77,61.25,4.1,25.59,1.7,0.17,0.07,0.35,0.59,0.1,0.03,0.17,2.47,0.17
國立,嘉義市,4033,1494,115,1794,33,11,2,0,1,2,54,62,4,1,88.59,37.04,2.85,44.48,0.82,0.27,0.05,0,0.02,0.05,1.34,1.54,0.1,0.02
國立,金門縣,599,169,60,232,14,11,0,1,0,0,2,2,0,0,81.97,28.21,10.02,38.73,2.34,1.84,0,0.17,0,0,0.33,0.33,0,0
國立,連江縣,129,39,0,71,0,0,0,0,0,0,0,0,0,0,85.27,30.23,0,55.04,0,0,0,0,0,0,0,0,0,0
縣市立,新北市,13276,3038,69,8477,413,3,0,0,0,3,43,37,13,2,91.13,22.88,0.52,63.85,3.11,0.02,0,0,0,0.02,0.32,0.28,0.1,0.02
縣市立,臺北市,21956,9509,160,11100,302,6,0,2,3,4,34,53,131,10,97.08,43.31,0.73,50.56,1.38,0.03,0,0.01,0.01,0.02,0.15,0.24,0.6,0.05
縣市立,桃園市,3479,836,12,2472,9,0,0,2,0,1,14,17,5,0,96.81,24.03,0.34,71.05,0.26,0,0,0.06,0,0.03,0.4,0.49,0.14,0
縣市立,臺中市,3000,782,24,1951,42,1,0,0,0,1,11,24,13,1,95,26.07,0.8,65.03,1.4,0.03,0,0,0,0.03,0.37,0.8,0.43,0.03
縣市立,臺南市,652,244,1,355,7,0,0,0,0,0,13,6,0,0,96.01,37.42,0.15,54.45,1.07,0,0,0,0,0,1.99,0.92,0,0
縣市立,高雄市,11844,4784,156,5447,235,20,1,0,14,25,103,147,34,8,92.65,40.39,1.32,45.99,1.98,0.17,0.01,0,0.12,0.21,0.87,1.24,0.29,0.07
縣市立,宜蘭縣,104,5,2,37,1,0,0,0,0,0,0,0,1,0,44.23,4.81,1.92,35.58,0.96,0,0,0,0,0,0,0,0.96,0
縣市立,新竹縣,207,53,0,138,0,0,0,0,0,0,0,4,0,0,94.2,25.6,0,66.67,0,0,0,0,0,0,0,1.93,0,0
縣市立,苗栗縣,408,68,0,308,5,0,0,0,0,0,0,4,1,3,95.34,16.67,0,75.49,1.23,0,0,0,0,0,0,0.98,0.25,0.74
縣市立,彰化縣,669,97,3,490,20,1,0,10,0,0,1,8,0,0,94.17,14.5,0.45,73.24,2.99,0.15,0,1.49,0,0,0.15,1.2,0,0
縣市立,南投縣,248,47,0,184,1,0,0,0,0,0,1,2,0,0,94.76,18.95,0,74.19,0.4,0,0,0,0,0,0.4,0.81,0,0
縣市立,雲林縣,427,67,7,289,8,0,0,0,0,0,0,8,1,0,88.99,15.69,1.64,67.68,1.87,0,0,0,0,0,0,1.87,0.23,0
縣市立,嘉義縣,181,57,6,96,0,0,0,0,0,0,4,9,0,0,95.03,31.49,3.31,53.04,0,0,0,0,0,0,2.21,4.97,0,0
縣市立,屏東縣,593,111,0,354,4,0,0,0,0,2,16,22,2,0,86.17,18.72,0,59.7,0.67,0,0,0,0,0.34,2.7,3.71,0.34,0
縣市立,臺東縣,12,1,0,8,0,0,0,0,0,0,0,0,0,0,75,8.33,0,66.67,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,44,21,3,12,0,0,0,0,0,0,0,0,0,0,81.82,47.73,6.82,27.27,0,0,0,0,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,446,80,17,302,7,0,0,0,0,0,3,3,0,0,92.38,17.94,3.81,67.71,1.57,0,0,0,0,0,0.67,0.67,0,0
縣市立,新竹市,855,227,2,569,9,0,0,0,0,0,2,6,6,0,96.02,26.55,0.23,66.55,1.05,0,0,0,0,0,0.23,0.7,0.7,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,17122,786,114,10004,1278,6,27,83,168,3,12,49,243,19,74.71,4.59,0.67,58.43,7.46,0.04,0.16,0.48,0.98,0.02,0.07,0.29,1.42,0.11
私立,臺北市,16210,1323,104,9980,961,27,18,111,218,0,5,43,230,16,80.42,8.16,0.64,61.57,5.93,0.17,0.11,0.68,1.34,0,0.03,0.27,1.42,0.1
私立,桃園市,16727,1538,196,9138,1146,77,38,52,60,3,15,107,35,25,74.31,9.19,1.17,54.63,6.85,0.46,0.23,0.31,0.36,0.02,0.09,0.64,0.21,0.15
私立,臺中市,21713,2636,374,12237,1850,26,35,40,92,2,22,120,224,51,81.56,12.14,1.72,56.36,8.52,0.12,0.16,0.18,0.42,0.01,0.1,0.55,1.03,0.23
私立,臺南市,11060,1345,7,5727,1072,2,0,48,70,11,56,125,29,19,76.95,12.16,0.06,51.78,9.69,0.02,0,0.43,0.63,0.1,0.51,1.13,0.26,0.17
私立,高雄市,15489,922,241,6351,1824,142,33,112,239,17,20,147,75,23,65.5,5.95,1.56,41,11.78,0.92,0.21,0.72,1.54,0.11,0.13,0.95,0.48,0.15
私立,宜蘭縣,451,54,8,352,7,0,0,0,0,0,0,2,13,0,96.67,11.97,1.77,78.05,1.55,0,0,0,0,0,0,0.44,2.88,0
私立,新竹縣,3494,252,3,1864,410,0,11,0,68,0,1,20,8,2,75.53,7.21,0.09,53.35,11.73,0,0.31,0,1.95,0,0.03,0.57,0.23,0.06
私立,苗栗縣,2874,121,52,1162,348,30,9,3,4,1,0,23,1,3,61.13,4.21,1.81,40.43,12.11,1.04,0.31,0.1,0.14,0.03,0,0.8,0.03,0.1
私立,彰化縣,5219,228,13,2585,599,6,0,9,15,4,8,18,16,0,67.08,4.37,0.25,49.53,11.48,0.11,0,0.17,0.29,0.08,0.15,0.34,0.31,0
私立,南投縣,1359,46,35,634,165,0,4,5,0,0,3,7,43,0,69.32,3.38,2.58,46.65,12.14,0,0.29,0.37,0,0,0.22,0.52,3.16,0
私立,雲林縣,3327,419,38,1659,112,3,1,0,0,3,15,43,9,2,69.25,12.59,1.14,49.86,3.37,0.09,0.03,0,0,0.09,0.45,1.29,0.27,0.06
私立,嘉義縣,2357,167,27,974,185,2,5,2,4,0,2,28,6,0,59.48,7.09,1.15,41.32,7.85,0.08,0.21,0.08,0.17,0,0.08,1.19,0.25,0
私立,屏東縣,2677,99,92,1227,81,0,0,0,1,0,2,39,3,1,57.71,3.7,3.44,45.83,3.03,0,0,0,0.04,0,0.07,1.46,0.11,0.04
私立,臺東縣,463,18,0,223,5,7,3,2,5,0,0,6,0,0,58.1,3.89,0,48.16,1.08,1.51,0.65,0.43,1.08,0,0,1.3,0,0
私立,花蓮縣,1725,155,1,1028,23,0,1,12,1,0,3,25,3,1,72.64,8.99,0.06,59.59,1.33,0,0.06,0.7,0.06,0,0.17,1.45,0.17,0.06
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1634,217,24,1079,44,0,0,0,0,0,5,10,3,0,84.58,13.28,1.47,66.03,2.69,0,0,0,0,0,0.31,0.61,0.18,0
私立,新竹市,3282,223,53,2068,87,10,0,0,3,0,0,6,6,1,74.86,6.79,1.61,63.01,2.65,0.3,0,0,0.09,0,0,0.18,0.18,0.03
私立,嘉義市,2955,260,190,1432,58,27,5,8,5,3,7,44,8,1,69.31,8.8,6.43,48.46,1.96,0.91,0.17,0.27,0.17,0.1,0.24,1.49,0.27,0.03
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
