設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
縣市立,雲林縣,378,66,4,230,3,0,0,1,0,0,1,0,0,0,80.69,17.46,1.06,60.85,0.79,0,0,0.26,0,0,0.26,0,0,0
縣市立,嘉義縣,205,52,0,121,1,0,0,0,0,0,2,12,0,0,91.71,25.37,0,59.02,0.49,0,0,0,0,0,0.98,5.85,0,0
縣市立,屏東縣,543,129,2,314,1,0,0,0,0,1,22,21,0,0,90.24,23.76,0.37,57.83,0.18,0,0,0,0,0.18,4.05,3.87,0,0
縣市立,臺東縣,6,2,0,2,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,44,20,0,12,0,0,0,3,0,0,0,1,0,0,81.82,45.45,0,27.27,0,0,0,6.82,0,0,0,2.27,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,377,87,7,252,0,0,0,0,0,0,6,6,0,0,94.96,23.08,1.86,66.84,0,0,0,0,0,0,1.59,1.59,0,0
縣市立,新竹市,843,289,61,452,3,0,0,0,0,0,1,6,1,0,96.44,34.28,7.24,53.62,0.36,0,0,0,0,0,0.12,0.71,0.12,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,14140,997,138,8066,1034,19,21,94,169,1,15,38,278,5,76.91,7.05,0.98,57.04,7.31,0.13,0.15,0.66,1.2,0.01,0.11,0.27,1.97,0.04
私立,臺北市,12534,1473,329,6950,620,11,54,69,236,1,8,38,234,36,80.25,11.75,2.62,55.45,4.95,0.09,0.43,0.55,1.88,0.01,0.06,0.3,1.87,0.29
私立,桃園市,15026,1752,265,8013,842,50,24,27,33,3,15,178,45,5,74.88,11.66,1.76,53.33,5.6,0.33,0.16,0.18,0.22,0.02,0.1,1.18,0.3,0.03
私立,臺中市,19186,2757,588,9407,1869,32,35,53,43,10,27,141,156,14,78.87,14.37,3.06,49.03,9.74,0.17,0.18,0.28,0.22,0.05,0.14,0.73,0.81,0.07
私立,臺南市,8517,1268,94,3980,719,44,33,31,33,13,65,111,33,7,75.51,14.89,1.1,46.73,8.44,0.52,0.39,0.36,0.39,0.15,0.76,1.3,0.39,0.08
私立,高雄市,11743,964,171,4800,1041,31,46,56,126,0,6,116,80,7,63.39,8.21,1.46,40.88,8.86,0.26,0.39,0.48,1.07,0,0.05,0.99,0.68,0.06
私立,宜蘭縣,389,67,0,299,2,0,0,0,0,0,0,1,18,0,99.49,17.22,0,76.86,0.51,0,0,0,0,0,0,0.26,4.63,0
私立,新竹縣,2606,283,6,1302,251,0,6,1,26,2,1,21,7,6,73.37,10.86,0.23,49.96,9.63,0,0.23,0.04,1,0.08,0.04,0.81,0.27,0.23
私立,苗栗縣,2052,93,74,890,187,1,3,2,2,1,2,6,6,21,62.77,4.53,3.61,43.37,9.11,0.05,0.15,0.1,0.1,0.05,0.1,0.29,0.29,1.02
私立,彰化縣,3903,242,20,1745,390,2,0,8,4,1,6,19,12,2,62.8,6.2,0.51,44.71,9.99,0.05,0,0.2,0.1,0.03,0.15,0.49,0.31,0.05
私立,南投縣,1110,97,15,474,59,3,31,10,23,0,0,3,36,5,68.11,8.74,1.35,42.7,5.32,0.27,2.79,0.9,2.07,0,0,0.27,3.24,0.45
私立,雲林縣,2889,430,47,1397,85,0,1,0,1,1,18,18,17,0,69.75,14.88,1.63,48.36,2.94,0,0.03,0,0.03,0.03,0.62,0.62,0.59,0
私立,嘉義縣,1934,249,27,689,111,5,0,3,4,1,7,40,7,6,59.41,12.87,1.4,35.63,5.74,0.26,0,0.16,0.21,0.05,0.36,2.07,0.36,0.31
私立,屏東縣,1999,149,27,871,81,4,0,8,1,1,1,25,5,0,58.68,7.45,1.35,43.57,4.05,0.2,0,0.4,0.05,0.05,0.05,1.25,0.25,0
私立,臺東縣,447,24,15,200,22,7,2,0,0,0,0,4,0,2,61.74,5.37,3.36,44.74,4.92,1.57,0.45,0,0,0,0,0.89,0,0.45
私立,花蓮縣,1334,180,1,696,14,6,0,9,0,0,3,16,6,0,69.79,13.49,0.07,52.17,1.05,0.45,0,0.67,0,0,0.22,1.2,0.45,0
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1513,325,15,888,15,0,0,7,4,1,5,11,1,0,84.07,21.48,0.99,58.69,0.99,0,0,0.46,0.26,0.07,0.33,0.73,0.07,0
私立,新竹市,2792,224,7,1724,192,0,0,0,0,0,3,8,8,0,77.58,8.02,0.25,61.75,6.88,0,0,0,0,0,0.11,0.29,0.29,0
私立,嘉義市,2488,262,60,1257,26,0,0,0,0,1,8,27,7,0,66.24,10.53,2.41,50.52,1.05,0,0,0,0,0.04,0.32,1.09,0.28,0
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
