設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
國立,新北市,530,123,2,340,3,0,0,0,0,0,3,3,47,0,98.3,23.21,0.38,64.15,0.57,0,0,0,0,0,0.57,0.57,8.87,0
國立,臺北市,1436,979,5,317,23,0,6,0,0,3,2,5,42,0,96.24,68.18,0.35,22.08,1.6,0,0.42,0,0,0.21,0.14,0.35,2.92,0
國立,桃園市,7085,3090,73,3350,56,5,4,1,0,2,7,42,15,2,93.82,43.61,1.03,47.28,0.79,0.07,0.06,0.01,0,0.03,0.1,0.59,0.21,0.03
國立,臺中市,11962,5786,371,3901,435,1,8,1,2,9,58,71,31,1,89.24,48.37,3.1,32.61,3.64,0.01,0.07,0.01,0.02,0.08,0.48,0.59,0.26,0.01
國立,臺南市,10855,4016,67,4751,466,48,2,2,4,2,69,129,51,6,88.56,37,0.62,43.77,4.29,0.44,0.02,0.02,0.04,0.02,0.64,1.19,0.47,0.06
國立,高雄市,4684,1768,114,2082,131,11,5,2,4,4,29,59,7,4,90.09,37.75,2.43,44.45,2.8,0.23,0.11,0.04,0.09,0.09,0.62,1.26,0.15,0.09
國立,宜蘭縣,4003,778,71,2379,34,7,9,1,6,1,30,35,13,1,84.06,19.44,1.77,59.43,0.85,0.17,0.22,0.02,0.15,0.02,0.75,0.87,0.32,0.02
國立,新竹縣,1548,543,3,864,22,0,2,0,0,0,2,14,10,0,94.32,35.08,0.19,55.81,1.42,0,0.13,0,0,0,0.13,0.9,0.65,0
國立,苗栗縣,3053,481,156,1981,62,12,2,1,1,0,15,41,2,0,90.21,15.75,5.11,64.89,2.03,0.39,0.07,0.03,0.03,0,0.49,1.34,0.07,0
國立,彰化縣,8865,2847,131,4014,310,10,31,35,43,10,66,76,6,3,85.53,32.12,1.48,45.28,3.5,0.11,0.35,0.39,0.49,0.11,0.74,0.86,0.07,0.03
國立,南投縣,3680,613,103,2035,130,27,20,2,10,1,45,76,4,0,83.32,16.66,2.8,55.3,3.53,0.73,0.54,0.05,0.27,0.03,1.22,2.07,0.11,0
國立,雲林縣,3610,865,264,1797,62,5,3,0,0,8,27,56,4,3,85.71,23.96,7.31,49.78,1.72,0.14,0.08,0,0,0.22,0.75,1.55,0.11,0.08
國立,嘉義縣,1021,131,61,603,39,0,0,0,0,0,2,21,1,0,84.04,12.83,5.97,59.06,3.82,0,0,0,0,0,0.2,2.06,0.1,0
國立,屏東縣,4197,964,157,1820,66,20,0,2,1,1,86,149,3,7,78.06,22.97,3.74,43.36,1.57,0.48,0,0.05,0.02,0.02,2.05,3.55,0.07,0.17
國立,臺東縣,1431,281,17,695,3,33,7,0,1,0,21,36,3,0,76.66,19.64,1.19,48.57,0.21,2.31,0.49,0,0.07,0,1.47,2.52,0.21,0
國立,花蓮縣,2159,438,4,1081,16,8,6,2,14,1,15,49,4,8,76.24,20.29,0.19,50.07,0.74,0.37,0.28,0.09,0.65,0.05,0.69,2.27,0.19,0.37
國立,澎湖縣,793,282,6,248,0,1,0,0,0,0,9,15,0,0,70.74,35.56,0.76,31.27,0,0.13,0,0,0,0,1.13,1.89,0,0
國立,基隆市,1989,296,23,1309,35,0,1,0,3,0,3,15,0,0,84.72,14.88,1.16,65.81,1.76,0,0.05,0,0.15,0,0.15,0.75,0,0
國立,新竹市,2822,1682,6,843,37,6,0,0,1,1,0,12,70,2,94.26,59.6,0.21,29.87,1.31,0.21,0,0,0.04,0.04,0,0.43,2.48,0.07
國立,嘉義市,3928,1560,103,1693,23,2,0,0,1,17,63,67,9,0,90.07,39.71,2.62,43.1,0.59,0.05,0,0,0.03,0.43,1.6,1.71,0.23,0
國立,金門縣,557,179,59,223,10,0,1,0,1,0,1,3,1,0,85.82,32.14,10.59,40.04,1.8,0,0.18,0,0.18,0,0.18,0.54,0.18,0
國立,連江縣,84,30,1,43,0,0,0,0,0,0,0,0,0,0,88.1,35.71,1.19,51.19,0,0,0,0,0,0,0,0,0,0
縣市立,新北市,13283,3096,93,8432,314,9,1,0,1,5,41,42,32,44,91.17,23.31,0.7,63.48,2.36,0.07,0.01,0,0.01,0.04,0.31,0.32,0.24,0.33
縣市立,臺北市,21581,9567,291,10529,195,12,1,1,1,2,24,43,174,1,96.57,44.33,1.35,48.79,0.9,0.06,0,0,0,0.01,0.11,0.2,0.81,0
縣市立,桃園市,3195,840,6,2141,10,10,1,0,0,0,11,28,12,2,95.81,26.29,0.19,67.01,0.31,0.31,0.03,0,0,0,0.34,0.88,0.38,0.06
縣市立,臺中市,2896,842,26,1784,31,0,0,0,0,1,42,27,16,0,95.61,29.07,0.9,61.6,1.07,0,0,0,0,0.03,1.45,0.93,0.55,0
縣市立,臺南市,614,206,0,358,2,0,0,0,0,0,6,18,2,0,96.42,33.55,0,58.31,0.33,0,0,0,0,0,0.98,2.93,0.33,0
縣市立,高雄市,11510,4846,210,5015,159,20,10,2,1,15,85,156,35,1,91.7,42.1,1.82,43.57,1.38,0.17,0.09,0.02,0.01,0.13,0.74,1.36,0.3,0.01
縣市立,宜蘭縣,84,11,0,37,0,0,0,0,0,0,0,0,5,0,63.1,13.1,0,44.05,0,0,0,0,0,0,0,0,5.95,0
縣市立,新竹縣,189,41,0,129,9,0,0,0,0,0,0,1,0,0,95.24,21.69,0,68.25,4.76,0,0,0,0,0,0,0.53,0,0
縣市立,苗栗縣,652,64,14,480,14,0,1,0,2,0,0,19,0,0,91.1,9.82,2.15,73.62,2.15,0,0.15,0,0.31,0,0,2.91,0,0
縣市立,彰化縣,746,150,4,516,7,0,0,0,0,0,5,16,2,0,93.83,20.11,0.54,69.17,0.94,0,0,0,0,0,0.67,2.14,0.27,0
縣市立,南投縣,251,48,2,174,2,0,0,0,0,0,8,3,0,0,94.42,19.12,0.8,69.32,0.8,0,0,0,0,0,3.19,1.2,0,0
縣市立,雲林縣,341,59,6,219,1,0,0,0,0,0,5,5,0,0,86.51,17.3,1.76,64.22,0.29,0,0,0,0,0,1.47,1.47,0,0
縣市立,嘉義縣,204,65,1,113,0,0,0,0,0,0,5,15,0,0,97.55,31.86,0.49,55.39,0,0,0,0,0,0,2.45,7.35,0,0
