設立別,學校所在地別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
縣市立,屏東縣,525,108,4,289,5,0,0,0,1,0,16,29,1,0,86.29,20.57,0.76,55.05,0.95,0,0,0,0.19,0,3.05,5.52,0.19,0
縣市立,臺東縣,12,1,0,4,0,0,0,0,0,0,0,0,0,0,41.67,8.33,0,33.33,0,0,0,0,0,0,0,0,0,0
縣市立,花蓮縣,39,11,0,10,0,0,0,8,0,0,0,0,0,0,74.36,28.21,0,25.64,0,0,0,20.51,0,0,0,0,0,0
縣市立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,基隆市,373,68,4,260,9,0,0,0,0,0,3,4,0,0,93.3,18.23,1.07,69.71,2.41,0,0,0,0,0,0.8,1.07,0,0
縣市立,新竹市,837,257,1,522,3,0,0,0,1,0,4,9,5,0,95.82,30.7,0.12,62.37,0.36,0,0,0,0.12,0,0.48,1.08,0.6,0
縣市立,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
縣市立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,新北市,15224,888,185,8555,1086,6,17,63,90,0,13,51,221,27,73.58,5.83,1.22,56.19,7.13,0.04,0.11,0.41,0.59,0,0.09,0.33,1.45,0.18
私立,臺北市,13570,1280,114,8169,728,16,37,49,226,3,2,28,168,6,79.78,9.43,0.84,60.2,5.36,0.12,0.27,0.36,1.67,0.02,0.01,0.21,1.24,0.04
私立,桃園市,15637,1562,155,8540,1007,47,28,35,47,3,15,104,33,20,74.16,9.99,0.99,54.61,6.44,0.3,0.18,0.22,0.3,0.02,0.1,0.67,0.21,0.13
私立,臺中市,19824,2542,340,10422,1887,41,41,8,26,3,19,140,265,55,79.65,12.82,1.72,52.57,9.52,0.21,0.21,0.04,0.13,0.02,0.1,0.71,1.34,0.28
私立,臺南市,9058,1162,39,4533,818,1,3,14,51,4,38,100,20,16,75.06,12.83,0.43,50.04,9.03,0.01,0.03,0.15,0.56,0.04,0.42,1.1,0.22,0.18
私立,高雄市,12934,904,178,5316,1283,47,16,123,158,5,5,112,63,8,63.54,6.99,1.38,41.1,9.92,0.36,0.12,0.95,1.22,0.04,0.04,0.87,0.49,0.06
私立,宜蘭縣,388,65,0,294,0,0,0,0,0,0,1,1,15,0,96.91,16.75,0,75.77,0,0,0,0,0,0,0.26,0.26,3.87,0
私立,新竹縣,2934,255,13,1432,417,1,5,2,47,0,0,12,7,0,74.68,8.69,0.44,48.81,14.21,0.03,0.17,0.07,1.6,0,0,0.41,0.24,0
私立,苗栗縣,2138,106,59,760,267,7,0,0,4,4,0,3,1,0,56.64,4.96,2.76,35.55,12.49,0.33,0,0,0.19,0.19,0,0.14,0.05,0
私立,彰化縣,4198,221,18,2113,395,20,1,1,5,5,9,32,11,1,67.46,5.26,0.43,50.33,9.41,0.48,0.02,0.02,0.12,0.12,0.21,0.76,0.26,0.02
私立,南投縣,1005,53,16,413,116,4,15,21,16,3,2,7,33,0,69.55,5.27,1.59,41.09,11.54,0.4,1.49,2.09,1.59,0.3,0.2,0.7,3.28,0
私立,雲林縣,2850,353,28,1349,108,18,1,3,1,1,22,28,11,11,67.86,12.39,0.98,47.33,3.79,0.63,0.04,0.11,0.04,0.04,0.77,0.98,0.39,0.39
私立,嘉義縣,2204,229,21,924,130,11,6,2,4,0,8,41,3,0,62.57,10.39,0.95,41.92,5.9,0.5,0.27,0.09,0.18,0,0.36,1.86,0.14,0
私立,屏東縣,2055,92,47,850,34,3,0,1,2,2,7,12,1,0,51.14,4.48,2.29,41.36,1.65,0.15,0,0.05,0.1,0.1,0.34,0.58,0.05,0
私立,臺東縣,418,24,3,195,9,12,5,1,0,0,0,1,0,0,59.81,5.74,0.72,46.65,2.15,2.87,1.2,0.24,0,0,0,0.24,0,0
私立,花蓮縣,1395,141,0,836,3,0,0,13,0,2,6,32,3,5,74.62,10.11,0,59.93,0.22,0,0,0.93,0,0.14,0.43,2.29,0.22,0.36
私立,澎湖縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,基隆市,1440,216,10,959,37,0,0,0,2,0,2,25,4,0,87.15,15,0.69,66.6,2.57,0,0,0,0.14,0,0.14,1.74,0.28,0
私立,新竹市,2697,202,30,1532,199,1,0,8,14,0,0,4,13,5,74.45,7.49,1.11,56.8,7.38,0.04,0,0.3,0.52,0,0,0.15,0.48,0.19
私立,嘉義市,2579,247,27,1346,69,1,0,0,0,2,11,35,10,1,67.82,9.58,1.05,52.19,2.68,0.04,0,0,0,0.08,0.43,1.36,0.39,0.04
私立,金門縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
私立,連江縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
