學程別,設立別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警大_警專_軍校人數,赴國外_大陸就讀人數,升其他學校人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
普通科,國立,34072,15803,107,15669,83,2,0,0,0,938,230,8,8,0,12,1,1,4,15,6,33,2,1,0,5,22,98,0,1,11,14,15,102,27,692,6,20,27
普通科,縣市立,40267,15154,145,22545,181,2,0,9,2,590,269,14,6,0,14,7,1,4,15,6,58,4,0,0,3,4,107,7,1,12,28,22,172,28,617,8,23,29
普通科,私立,24285,5806,123,16215,309,4,12,11,13,424,638,7,15,0,9,1,1,5,11,1,41,1,0,0,5,9,29,0,0,7,20,2,95,10,362,9,43,24
專業群(職業)科,國立,30216,9618,1280,13612,754,159,32,18,15,387,30,8,126,4,345,55,6,107,197,29,550,11,4,3,229,153,319,12,16,72,274,78,763,301,263,42,11,100
專業群(職業)科,縣市立,11186,4128,287,5480,182,35,2,1,0,59,11,32,2,0,69,12,3,8,57,30,61,3,1,1,47,47,13,1,6,16,42,21,96,45,201,13,13,47
專業群(職業)科,私立,61996,3578,886,34161,5733,192,98,235,372,379,156,106,207,28,1180,116,12,283,813,386,3568,174,43,13,927,350,684,61,66,631,1627,286,1765,1309,390,146,108,452
綜合高中,國立,8705,2092,82,5471,133,18,4,2,1,215,58,0,14,2,21,2,0,8,34,9,79,1,2,1,12,11,115,1,0,11,28,5,71,34,113,7,6,7
綜合高中,縣市立,3609,907,54,2382,28,3,1,0,2,39,3,0,0,1,6,0,0,0,13,4,21,0,0,0,0,1,12,0,0,6,13,3,29,13,44,0,3,2
綜合高中,私立,8273,1030,164,5532,474,6,0,6,2,91,76,14,14,0,36,10,1,12,34,22,165,2,2,0,27,29,75,8,1,21,71,12,186,39,46,11,10,25
實用技能學程,國立,3090,128,127,1034,378,11,7,5,16,33,3,6,47,0,124,8,2,28,97,18,225,9,2,0,113,34,62,2,8,30,135,29,133,103,28,4,2,31
實用技能學程,縣市立,292,11,10,92,53,1,0,0,0,0,0,0,0,0,11,0,0,3,8,2,18,0,1,0,15,10,1,1,1,8,3,0,14,10,0,1,0,1
實用技能學程,私立,7552,104,62,2012,843,21,8,38,62,58,4,9,59,21,306,37,6,93,266,163,1072,20,7,11,368,82,159,15,15,132,379,52,357,453,59,31,8,83
進修部(學校),國立,4209,91,201,583,615,6,64,24,60,14,2,15,61,7,440,27,2,85,171,63,335,20,13,12,120,123,36,2,27,146,270,8,238,134,12,20,2,72
進修部(學校),縣市立,1978,80,166,513,317,10,11,1,3,5,1,2,12,2,57,13,3,34,35,17,87,4,17,3,42,17,8,2,5,32,166,2,35,20,13,0,5,85
進修部(學校),私立,24,48,618,1234,13,57,54,244,2,19,19,2,86,10,766,122,35,213,558,327,1414,90,92,46,388,480,32,5,77,573,1110,74,467,545,82,52,38,207
