學程別,設立別,性別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
普通科,國立,男,12639,11,0,8,0,0,9,4,4,20,0,2,0,4,3,85,0,0,6,13,1.34,0.09,0,0.06,0,0,0.07,0.03,0.03,0.16,0,0.02,0,0.03,0.02,0.67,0,0,0.05,0.1
普通科,國立,女,12901,1,0,4,0,0,0,4,0,20,1,0,0,1,5,59,1,1,6,6,0.84,0.01,0,0.03,0,0,0,0.03,0,0.16,0.01,0,0,0.01,0.04,0.46,0.01,0.01,0.05,0.05
普通科,縣市立,男,22367,10,2,13,5,2,19,7,4,45,5,2,0,3,10,100,3,0,31,36,1.33,0.04,0.01,0.06,0.02,0.01,0.08,0.03,0.02,0.2,0.02,0.01,0,0.01,0.04,0.45,0.01,0,0.14,0.16
普通科,縣市立,女,24611,2,0,11,0,0,0,10,0,41,3,0,0,1,1,49,4,3,18,17,0.65,0.01,0,0.04,0,0,0,0.04,0,0.17,0.01,0,0,0,0,0.2,0.02,0.01,0.07,0.07
普通科,私立,男,13146,10,1,10,1,0,5,9,0,35,2,2,0,7,16,54,0,2,10,22,1.41,0.08,0.01,0.08,0.01,0,0.04,0.07,0,0.27,0.02,0.02,0,0.05,0.12,0.41,0,0.02,0.08,0.17
普通科,私立,女,12972,3,0,4,1,0,1,6,0,10,0,1,0,1,3,22,0,2,6,10,0.54,0.02,0,0.03,0.01,0,0.01,0.05,0,0.08,0,0.01,0,0.01,0.02,0.17,0,0.02,0.05,0.08
專業群科,國立,男,13594,93,4,251,49,8,68,103,52,267,14,1,1,143,75,370,8,10,42,136,12.47,0.68,0.03,1.85,0.36,0.06,0.5,0.76,0.38,1.96,0.1,0.01,0.01,1.05,0.55,2.72,0.06,0.07,0.31,1
專業群科,國立,女,9858,27,1,43,4,0,3,91,4,294,8,1,0,18,41,162,7,11,35,92,8.54,0.27,0.01,0.44,0.04,0,0.03,0.92,0.04,2.98,0.08,0.01,0,0.18,0.42,1.64,0.07,0.11,0.36,0.93
專業群科,縣市立,男,9324,4,3,151,22,2,32,36,12,138,6,3,1,69,46,11,0,4,30,48,6.63,0.04,0.03,1.62,0.24,0.02,0.34,0.39,0.13,1.48,0.06,0.03,0.01,0.74,0.49,0.12,0,0.04,0.32,0.51
專業群科,縣市立,女,5827,2,0,28,1,0,4,21,6,89,3,1,0,12,13,13,0,7,12,26,4.08,0.03,0,0.48,0.02,0,0.07,0.36,0.1,1.53,0.05,0.02,0,0.21,0.22,0.22,0,0.12,0.21,0.45
專業群科,私立,男,30182,194,17,731,125,11,213,353,220,1942,80,25,9,770,279,710,16,23,166,538,21.28,0.64,0.06,2.42,0.41,0.04,0.71,1.17,0.73,6.43,0.27,0.08,0.03,2.55,0.92,2.35,0.05,0.08,0.55,1.78
專業群科,私立,女,28193,25,2,140,18,3,16,314,66,1718,43,12,7,411,221,270,37,73,265,653,15.23,0.09,0.01,0.5,0.06,0.01,0.06,1.11,0.23,6.09,0.15,0.04,0.02,1.46,0.78,0.96,0.13,0.26,0.94,2.32
綜合高中,國立,男,2187,5,0,16,2,1,3,18,3,37,1,0,0,5,13,22,0,4,7,5,6.49,0.23,0,0.73,0.09,0.05,0.14,0.82,0.14,1.69,0.05,0,0,0.23,0.59,1.01,0,0.18,0.32,0.23
綜合高中,國立,女,2970,0,0,0,1,0,0,20,2,28,0,1,0,1,13,39,0,2,6,6,4.01,0,0,0,0.03,0,0,0.67,0.07,0.94,0,0.03,0,0.03,0.44,1.31,0,0.07,0.2,0.2
綜合高中,縣市立,男,1662,1,1,6,0,1,3,2,2,8,1,0,0,0,0,3,0,0,8,5,2.47,0.06,0.06,0.36,0,0.06,0.18,0.12,0.12,0.48,0.06,0,0,0,0,0.18,0,0,0.48,0.3
綜合高中,縣市立,女,2045,0,0,0,0,0,1,9,0,12,1,0,0,1,3,4,0,0,2,5,1.86,0,0,0,0,0,0.05,0.44,0,0.59,0.05,0,0,0.05,0.15,0.2,0,0,0.1,0.24
綜合高中,私立,男,2275,4,1,5,10,0,16,8,3,45,4,4,1,3,10,119,2,0,19,20,12.04,0.18,0.04,0.22,0.44,0,0.7,0.35,0.13,1.98,0.18,0.18,0.04,0.13,0.44,5.23,0.09,0,0.84,0.88
