學程別,設立別,性別,畢業生人數,農_林_漁_牧業人數,礦業及土石採取業人數,製造業人數,電力及燃氣供應業人數,用水供應及污染整治業人數,營建工程業人數,批發及零售業人數,運輸及倉儲業人數,住宿及餐飲業人數,出版_影音製作_傳播及資通訊服務業人數,金融及保險業人數,不動產業人數,專業_科學及技術服務業人數,支援服務業人數,公共行政及國防；強制性社會安全人數,教育業人數,醫療保健及社會工作服務業人數,藝術_娛樂及休閒服務業人數,其他服務業人數,就業率,農_林_漁_牧業比率,礦業及土石採取業比率,製造業比率,電力及燃氣供應業比率,用水供應及污染整治業比率,營建工程業比率,批發及零售業比率,運輸及倉儲業比率,住宿及餐飲業比率,出版_影音製作_傳播及資通訊服務業比率,金融及保險業比率,不動產業比率,專業_科學及技術服務業比率,支援服務業比率,公共行政及國防；強制性社會安全比率,教育業比率,醫療保健及社會工作服務業比率,藝術_娛樂及休閒服務業比率,其他服務業比率
綜合高中,私立,女,2734,1,0,9,0,0,0,7,0,66,4,2,0,8,15,44,5,4,5,22,7.02,0.04,0,0.33,0,0,0,0.26,0,2.41,0.15,0.07,0,0.29,0.55,1.61,0.18,0.15,0.18,0.8
實用技能學程,國立,男,1440,34,0,81,6,0,24,22,11,51,2,2,0,24,17,64,0,2,21,23,26.67,2.36,0,5.63,0.42,0,1.67,1.53,0.76,3.54,0.14,0.14,0,1.67,1.18,4.44,0,0.14,1.46,1.6
實用技能學程,國立,女,1024,12,0,22,1,1,1,39,1,95,1,4,0,28,11,15,1,2,44,18,28.91,1.17,0,2.15,0.1,0.1,0.1,3.81,0.1,9.28,0.1,0.39,0,2.73,1.07,1.46,0.1,0.2,4.3,1.76
實用技能學程,縣市立,男,298,1,0,58,0,0,9,0,1,9,2,0,0,12,7,5,0,0,0,4,36.24,0.34,0,19.46,0,0,3.02,0,0.34,3.02,0.67,0,0,4.03,2.35,1.68,0,0,0,1.34
實用技能學程,縣市立,女,155,0,0,4,0,0,0,1,0,24,0,0,0,0,4,0,0,0,2,12,30.32,0,0,2.58,0,0,0,0.65,0,15.48,0,0,0,0,2.58,0,0,0,1.29,7.74
實用技能學程,私立,男,3939,44,6,190,45,1,75,106,81,550,14,4,6,190,26,109,9,4,23,161,41.74,1.12,0.15,4.82,1.14,0.03,1.9,2.69,2.06,13.96,0.36,0.1,0.15,4.82,0.66,2.77,0.23,0.1,0.58,4.09
實用技能學程,私立,女,2919,8,0,37,7,0,4,82,21,563,12,5,0,58,19,55,2,8,72,245,41.04,0.27,0,1.27,0.24,0,0.14,2.81,0.72,19.29,0.41,0.17,0,1.99,0.65,1.88,0.07,0.27,2.47,8.39
進修部,國立,男,1455,28,4,183,15,1,43,40,23,104,4,11,2,66,23,46,1,5,44,56,48.04,1.92,0.27,12.58,1.03,0.07,2.96,2.75,1.58,7.15,0.27,0.76,0.14,4.54,1.58,3.16,0.07,0.34,3.02,3.85
進修部,國立,女,900,10,0,81,0,0,5,76,4,123,1,16,1,10,30,12,3,18,46,54,54.44,1.11,0,9,0,0,0.56,8.44,0.44,13.67,0.11,1.78,0.11,1.11,3.33,1.33,0.33,2,5.11,6
進修部,縣市立,男,1105,4,2,110,9,1,32,42,33,53,5,3,0,25,24,12,0,8,27,24,37.47,0.36,0.18,9.95,0.81,0.09,2.9,3.8,2.99,4.8,0.45,0.27,0,2.26,2.17,1.09,0,0.72,2.44,2.17
進修部,縣市立,女,720,0,0,35,0,0,1,28,6,56,3,7,3,5,48,7,3,16,20,39,38.47,0,0,4.86,0,0,0.14,3.89,0.83,7.78,0.42,0.97,0.42,0.69,6.67,0.97,0.42,2.22,2.78,5.42
進修部,私立,男,4155,75,11,379,40,8,167,231,150,541,24,26,12,152,105,44,8,12,180,225,57.52,1.81,0.26,9.12,0.96,0.19,4.02,5.56,3.61,13.02,0.58,0.63,0.29,3.66,2.53,1.06,0.19,0.29,4.33,5.42
進修部,私立,女,3425,17,2,131,25,2,32,226,47,537,29,23,5,201,62,19,8,29,210,303,55.71,0.5,0.06,3.82,0.73,0.06,0.93,6.6,1.37,15.68,0.85,0.67,0.15,5.87,1.81,0.55,0.23,0.85,6.13,8.85
