學程別,設立別,性別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
普通科,國立,男,12639,5843,42,4895,56,0,1,0,2,35,154,348,121,0,90.96,46.23,0.33,38.73,0.44,0,0.01,0,0.02,0.28,1.22,2.75,0.96,0
普通科,國立,女,12901,5305,37,6495,58,2,1,1,1,3,16,142,146,5,94.66,41.12,0.29,50.34,0.45,0.02,0.01,0.01,0.01,0.02,0.12,1.1,1.13,0.04
普通科,縣市立,男,22367,9295,92,10490,147,1,1,12,5,37,103,305,196,1,92.48,41.56,0.41,46.9,0.66,0,0,0.05,0.02,0.17,0.46,1.36,0.88,0
普通科,縣市立,女,24611,8841,126,13841,158,0,12,10,4,6,7,149,302,6,95.33,35.92,0.51,56.24,0.64,0,0.05,0.04,0.02,0.02,0.03,0.61,1.23,0.02
普通科,私立,男,13146,3572,91,7388,226,0,1,10,0,25,65,299,379,7,91.76,27.17,0.69,56.2,1.72,0,0.01,0.08,0,0.19,0.49,2.27,2.88,0.05
普通科,私立,女,12972,3048,87,8338,215,1,0,6,0,2,6,107,494,2,94.87,23.5,0.67,64.28,1.66,0.01,0,0.05,0,0.02,0.05,0.82,3.81,0.02
專業群科,國立,男,13594,4223,727,5245,429,75,16,3,10,0,14,232,5,1,80.77,31.07,5.35,38.58,3.16,0.55,0.12,0.02,0.07,0,0.1,1.71,0.04,0.01
專業群科,國立,女,9858,3135,316,4873,208,43,5,6,3,0,3,70,12,1,88,31.8,3.21,49.43,2.11,0.44,0.05,0.06,0.03,0,0.03,0.71,0.12,0.01
專業群科,縣市立,男,9324,4073,338,3536,212,25,1,2,0,1,6,55,9,4,88.61,43.68,3.63,37.92,2.27,0.27,0.01,0.02,0,0.01,0.06,0.59,0.1,0.04
專業群科,縣市立,女,5827,2352,95,2862,63,9,0,0,0,0,2,28,20,13,93.43,40.36,1.63,49.12,1.08,0.15,0,0,0,0,0.03,0.48,0.34,0.22
專業群科,私立,男,30182,2168,725,14542,2875,104,61,67,125,12,9,301,59,14,69.78,7.18,2.4,48.18,9.53,0.34,0.2,0.22,0.41,0.04,0.03,1,0.2,0.05
專業群科,私立,女,28193,2089,640,17037,2378,85,78,78,85,9,4,105,87,31,80.54,7.41,2.27,60.43,8.43,0.3,0.28,0.28,0.3,0.03,0.01,0.37,0.31,0.11
綜合高中,國立,男,2187,525,19,1210,32,2,0,1,0,0,17,45,24,0,85.73,24.01,0.87,55.33,1.46,0.09,0,0.05,0,0,0.78,2.06,1.1,0
綜合高中,國立,女,2970,682,27,1936,41,3,0,0,0,0,3,17,33,0,92.32,22.96,0.91,65.19,1.38,0.1,0,0,0,0,0.1,0.57,1.11,0
綜合高中,縣市立,男,1662,514,19,956,16,1,0,0,1,0,3,24,3,0,92.48,30.93,1.14,57.52,0.96,0.06,0,0,0.06,0,0.18,1.44,0.18,0
