學程別,設立別,性別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
綜合高中,縣市立,女,2045,497,32,1371,22,0,0,0,0,0,1,13,8,0,95.06,24.3,1.56,67.04,1.08,0,0,0,0,0,0.05,0.64,0.39,0
綜合高中,私立,男,2275,256,82,1380,76,1,2,2,0,1,5,46,30,5,82.9,11.25,3.6,60.66,3.34,0.04,0.09,0.09,0,0.04,0.22,2.02,1.32,0.22
綜合高中,私立,女,2734,250,82,1991,86,0,2,1,0,1,0,21,34,4,90.42,9.14,3,72.82,3.15,0,0.07,0.04,0,0.04,0,0.77,1.24,0.15
實用技能學程,國立,男,1440,110,74,477,148,6,0,1,0,0,0,12,0,1,57.57,7.64,5.14,33.13,10.28,0.42,0,0.07,0,0,0,0.83,0,0.07
實用技能學程,國立,女,1024,41,40,465,90,6,1,0,0,0,0,6,0,0,63.38,4,3.91,45.41,8.79,0.59,0.1,0,0,0,0,0.59,0,0
實用技能學程,縣市立,男,298,12,30,33,80,0,0,1,1,0,0,0,0,4,54.03,4.03,10.07,11.07,26.85,0,0,0.34,0.34,0,0,0,0,1.34
實用技能學程,縣市立,女,155,2,12,35,45,0,2,0,1,0,0,0,0,1,63.23,1.29,7.74,22.58,29.03,0,1.29,0,0.65,0,0,0,0,0.65
實用技能學程,私立,男,3939,50,41,1044,428,4,3,8,41,0,0,42,1,6,42.35,1.27,1.04,26.5,10.87,0.1,0.08,0.2,1.04,0,0,1.07,0.03,0.15
實用技能學程,私立,女,2919,39,22,1023,268,22,6,11,30,1,0,7,1,2,49.06,1.34,0.75,35.05,9.18,0.75,0.21,0.38,1.03,0.03,0,0.24,0.03,0.07
進修部,國立,男,1455,46,68,178,196,0,2,0,22,0,1,3,1,1,35.6,3.16,4.67,12.23,13.47,0,0.14,0,1.51,0,0.07,0.21,0.07,0.07
進修部,國立,女,900,30,38,114,113,0,14,0,15,0,0,3,1,0,36.44,3.33,4.22,12.67,12.56,0,1.56,0,1.67,0,0,0.33,0.11,0
進修部,縣市立,男,1105,35,86,251,153,2,5,3,11,0,0,1,1,7,50.23,3.17,7.78,22.71,13.85,0.18,0.45,0.27,1,0,0,0.09,0.09,0.63
進修部,縣市立,女,720,15,43,148,124,0,2,2,0,0,0,3,1,6,47.78,2.08,5.97,20.56,17.22,0,0.28,0.28,0,0,0,0.42,0.14,0.83
進修部,私立,男,4155,51,20,223,460,4,9,25,157,0,2,7,3,0,23.13,1.23,0.48,5.37,11.07,0.1,0.22,0.6,3.78,0,0.05,0.17,0.07,0
進修部,私立,女,3425,11,35,207,565,6,14,27,182,0,0,13,1,0,30.98,0.32,1.02,6.04,16.5,0.18,0.41,0.79,5.31,0,0,0.38,0.03,0
