學程別,設立別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警大_警專_軍校人數,赴國外_大陸就讀人數,升其他學校人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
普通科,國立,34267,15733,73,16005,141,0,1,6,3,913,226,7,1,0,8,0,0,4,13,1,28,2,0,0,1,7,99,1,0,4,16,4,98,9,750,3,4,31
普通科,縣市立,40753,15200,123,22972,248,11,1,5,0,599,222,2,5,0,10,4,0,8,13,3,31,3,0,1,8,2,99,5,3,25,54,8,106,16,726,4,35,92
普通科,私立,28518,6099,72,19636,647,4,0,3,1,421,558,20,6,1,14,1,0,7,6,2,25,2,0,0,0,6,37,1,0,22,40,19,111,18,596,9,21,40
職業科,國立,30637,9429,1595,14358,861,137,23,59,21,420,13,14,107,14,303,30,5,72,160,36,450,22,5,1,102,119,382,10,17,65,368,76,504,270,242,48,12,120
職業科,縣市立,10972,4034,307,5491,365,19,6,0,10,50,10,4,2,0,33,1,0,8,13,9,81,0,5,0,31,27,6,0,4,12,101,15,50,37,138,16,13,33
職業科,私立,72170,3416,1366,41090,7028,163,199,478,445,475,169,123,239,43,1380,94,16,331,887,298,3486,171,44,14,1055,257,513,35,57,528,2297,290,2128,1411,365,156,69,548
綜合高中,國立,10728,2309,168,6993,196,14,1,5,1,228,20,25,8,2,27,5,0,15,28,3,67,2,0,0,6,11,116,1,2,26,83,7,94,26,128,3,7,41
綜合高中,縣市立,3757,937,26,2557,41,3,0,1,0,29,5,2,0,0,3,0,0,4,1,0,8,0,0,0,0,0,14,0,0,0,22,0,12,1,66,2,5,10
綜合高中,私立,10935,1048,99,8028,528,26,9,2,18,72,61,4,7,0,57,6,1,14,25,15,165,10,1,1,16,27,126,5,1,38,86,23,143,81,67,8,4,60
實用技能學程,國立,3480,123,108,1170,539,20,19,29,5,15,1,0,64,25,186,27,1,32,74,39,221,12,4,1,83,27,82,4,11,33,127,20,194,68,14,5,1,44
實用技能學程,縣市立,394,10,46,70,73,0,1,0,3,1,0,0,0,0,22,4,0,20,13,2,41,3,2,0,13,5,4,0,1,2,14,1,16,9,0,4,0,8
實用技能學程,私立,8708,95,54,2310,912,35,33,32,154,45,3,27,77,8,434,36,8,120,293,121,1038,68,15,5,396,85,91,5,10,167,679,34,490,466,41,31,4,159
