學程別,設立別,性別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
普通科,國立,男,13721,6780,45,5494,29,2,0,2,1,28,363,267,99,4,95.58,49.41,0.33,40.04,0.21,0.01,0,0.01,0.01,0.2,2.65,1.95,0.72,0.03
普通科,國立,女,13958,5938,29,7316,26,0,0,0,0,2,33,135,150,2,97.66,42.54,0.21,52.41,0.19,0,0,0,0,0.01,0.24,0.97,1.07,0.01
普通科,縣市立,男,20575,9038,71,9952,101,0,0,3,0,35,241,231,120,7,96.23,43.93,0.35,48.37,0.49,0,0,0.01,0,0.17,1.17,1.12,0.58,0.03
普通科,縣市立,女,21550,8334,47,12311,81,0,0,1,0,4,24,94,174,2,97.78,38.67,0.22,57.13,0.38,0,0,0,0,0.02,0.11,0.44,0.81,0.01
普通科,私立,男,12308,3525,39,7248,183,4,0,8,0,19,149,207,345,1,95.29,28.64,0.32,58.89,1.49,0.03,0,0.06,0,0.15,1.21,1.68,2.8,0.01
普通科,私立,女,12157,3043,74,8093,190,0,0,6,1,5,14,80,354,5,97.6,25.03,0.61,66.57,1.56,0,0,0.05,0.01,0.04,0.12,0.66,2.91,0.04
專業群(職業)科,國立,男,14146,4099,741,5560,503,83,17,5,2,3,19,242,7,2,79.76,28.98,5.24,39.3,3.56,0.59,0.12,0.04,0.01,0.02,0.13,1.71,0.05,0.01
專業群(職業)科,國立,女,10407,3154,411,5331,197,31,24,6,3,2,8,65,7,1,88.79,30.31,3.95,51.23,1.89,0.3,0.23,0.06,0.03,0.02,0.08,0.62,0.07,0.01
專業群(職業)科,縣市立,男,9072,4058,300,3495,158,23,1,3,0,1,4,66,17,1,89.58,44.73,3.31,38.53,1.74,0.25,0.01,0.03,0,0.01,0.04,0.73,0.19,0.01
專業群(職業)科,縣市立,女,5168,2158,128,2476,66,7,1,0,0,0,0,15,5,2,94,41.76,2.48,47.91,1.28,0.14,0.02,0,0,0,0,0.29,0.1,0.04
