學程別,設立別,性別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,"升學率
",公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
專業群(職業)科,私立,男,30574,2076,636,14900,2718,79,87,145,190,2,16,325,72,21,69.56,6.79,2.08,48.73,8.89,0.26,0.28,0.47,0.62,0.01,0.05,1.06,0.24,0.07
專業群(職業)科,私立,女,29058,2366,812,16933,2438,70,84,149,155,0,1,86,116,18,79.94,8.14,2.79,58.27,8.39,0.24,0.29,0.51,0.53,0,0,0.3,0.4,0.06
綜合高中,國立,男,2968,820,42,1632,56,3,0,1,0,3,43,47,20,0,89.86,27.63,1.42,54.99,1.89,0.1,0,0.03,0,0.1,1.45,1.58,0.67,0
綜合高中,國立,女,3776,870,76,2490,66,5,0,2,1,0,3,25,32,1,94.57,23.04,2.01,65.94,1.75,0.13,0,0.05,0.03,0,0.08,0.66,0.85,0.03
綜合高中,縣市立,男,1775,557,27,1049,13,3,0,0,0,0,15,12,2,1,94.59,31.38,1.52,59.1,0.73,0.17,0,0,0,0,0.85,0.68,0.11,0.06
綜合高中,縣市立,女,1988,459,37,1389,12,1,0,0,0,0,2,9,2,0,96.13,23.09,1.86,69.87,0.6,0.05,0,0,0,0,0.1,0.45,0.1,0
綜合高中,私立,男,2752,373,48,1670,132,6,0,9,0,1,7,58,22,1,84.56,13.55,1.74,60.68,4.8,0.22,0,0.33,0,0.04,0.25,2.11,0.8,0.04
綜合高中,私立,女,3265,335,62,2347,149,4,2,0,1,0,0,12,35,0,90.26,10.26,1.9,71.88,4.56,0.12,0.06,0,0.03,0,0,0.37,1.07,0
實用技能學程,國立,男,1490,80,55,503,145,7,3,7,1,0,0,13,0,0,54.63,5.37,3.69,33.76,9.73,0.47,0.2,0.47,0.07,0,0,0.87,0,0
實用技能學程,國立,女,1037,51,21,457,87,14,7,5,3,0,0,9,1,0,63.16,4.92,2.03,44.07,8.39,1.35,0.68,0.48,0.29,0,0,0.87,0.1,0
實用技能學程,縣市立,男,284,7,6,72,38,0,1,3,3,0,0,0,0,0,45.77,2.46,2.11,25.35,13.38,0,0.35,1.06,1.06,0,0,0,0,0
實用技能學程,縣市立,女,208,6,3,79,35,5,4,0,0,0,0,0,0,0,63.46,2.88,1.44,37.98,16.83,2.4,1.92,0,0,0,0,0,0,0
實用技能學程,私立,男,3662,26,72,928,303,27,8,13,33,5,0,19,2,8,39.43,0.71,1.97,25.34,8.27,0.74,0.22,0.35,0.9,0.14,0,0.52,0.05,0.22
實用技能學程,私立,女,3194,39,73,1060,321,12,20,3,39,0,0,8,2,17,49.91,1.22,2.29,33.19,10.05,0.38,0.63,0.09,1.22,0,0,0.25,0.06,0.53
進修部(學校),國立,男,1762,31,56,231,215,13,6,2,11,0,2,10,2,11,33.48,1.76,3.18,13.11,12.2,0.74,0.34,0.11,0.62,0,0.11,0.57,0.11,0.62
進修部(學校),國立,女,1149,29,73,155,156,8,15,3,13,0,0,4,1,7,40.38,2.52,6.35,13.49,13.58,0.7,1.31,0.26,1.13,0,0,0.35,0.09,0.61
進修部(學校),縣市立,男,1198,58,52,229,292,1,5,0,11,0,1,2,0,0,54.34,4.84,4.34,19.12,24.37,0.08,0.42,0,0.92,0,0.08,0.17,0,0
進修部(學校),縣市立,女,808,38,68,141,127,3,5,1,4,0,0,1,0,0,48.02,4.7,8.42,17.45,15.72,0.37,0.62,0.12,0.5,0,0,0.12,0,0
進修部(學校),私立,男,5385,36,44,238,576,5,15,21,126,2,3,18,3,23,20.61,0.67,0.82,4.42,10.7,0.09,0.28,0.39,2.34,0.04,0.06,0.33,0.06,0.43
進修部(學校),私立,女,4247,17,39,231,550,8,40,24,160,3,0,8,5,22,26.07,0.4,0.92,5.44,12.95,0.19,0.94,0.57,3.77,0.07,0,0.19,0.12,0.52
