學程別,設立別,性別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
普通科,國立,男,17951,8793,42,7389,64,0,0,1,0,43,391,312,110,1,95.5155701632,48.9833435463,0.2339702524,41.1620522534,0.3565260988,0,0,0.0055707203,0,0.2395409726,2.178151635,1.7380647318,0.6127792324,0.0055707203
普通科,國立,女,17035,7829,47,8405,61,0,0,0,1,6,42,109,111,1,97.5168770179,45.9583211036,0.2759025536,49.3395949516,0.3580862929,0,0,0,0.0058702671,0.0352216026,0.2465512181,0.6398591136,0.6515996478,0.0058702671
普通科,縣市立,男,20477,7914,58,10823,152,1,0,2,1,30,208,208,75,10,95.1408897788,38.6482394882,0.2832446159,52.8544220345,0.7422962348,0.0048835279,0,0.0097670557,0.0048835279,0.1465058358,1.015773795,1.015773795,0.3662645895,0.0488352786
普通科,縣市立,女,21199,7240,67,12961,132,3,0,8,0,3,21,65,109,4,97.235718666,34.1525543658,0.316052644,61.1396763998,0.6226708807,0.0141516109,0,0.0377376291,0,0.0141516109,0.0990612765,0.3066182367,0.5141751969,0.0188688146
普通科,私立,男,14483,3339,57,9299,245,2,7,53,2,23,134,243,337,14,94.9734171097,23.0546157564,0.3935648692,64.2063108472,1.6916384727,0.0138092937,0.0483325278,0.3659462818,0.0138092937,0.158806877,0.9252226749,1.677829179,2.3268659808,0.0966650556
普通科,私立,女,13964,2797,78,9951,322,8,8,16,9,5,12,48,346,1,97.4004583214,20.0300773417,0.5585792037,71.2618160985,2.3059295331,0.0572901747,0.0572901747,0.1145803495,0.0644514466,0.0358063592,0.0859352621,0.3437410484,2.4778000573,0.0071612718
職業科,國立,男,17555,5319,835,7414,615,76,12,13,16,1,29,321,6,16,83.5830247793,30.2990600968,4.7564796354,42.2329820564,3.5032754201,0.4329250926,0.0683565936,0.0740529764,0.0911421248,0.0056963828,0.1651951011,1.8285388778,0.0341782968,0.0911421248
職業科,國立,女,13185,4212,460,6858,224,53,14,4,8,0,1,103,14,2,90.65604854,31.9453924915,3.4888130451,52.0136518771,1.6989002655,0.4019719378,0.1061812666,0.0303375047,0.0606750095,0,0.0075843762,0.7811907471,0.1061812666,0.0151687524
職業科,縣市立,男,7015,2637,116,3541,163,18,0,1,1,3,7,38,7,1,93.1290092659,37.5908766928,1.6535994298,50.4775481112,2.3235923022,0.256593015,0,0.0142551675,0.0142551675,0.0427655025,0.0997861725,0.5416963649,0.0997861725,0.0142551675
職業科,縣市立,女,4231,1325,109,2484,90,2,0,3,0,0,0,11,8,1,95.3202552588,31.3164736469,2.5762231151,58.709524935,2.1271567005,0.0472701489,0,0.0709052234,0,0,0,0.259985819,0.1890805956,0.0236350745
