學程別,設立別,性別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警察大學人數,升警察專科學校人數,升軍事院校人數,赴國外_大陸就讀人數,升其他學校人數,升學率,升公立大學日間部比率,升公立大學進修學士班比率,升私立大學日間部比率,升私立大學進修學士班比率,升公立二專日間部比率,升公立二專夜間部比率,升私立二專日間部比率,升私立二專夜間部比率,升警察大學比率,升警察專科學校比率,升軍事院校比率,赴國外_大陸就讀比率,升其他學校比率
職業科,私立,男,36343,1633,504,18787,3603,115,54,101,231,1,13,307,52,37,69.9942217208,4.4932999477,1.3867870016,51.6935861101,9.9138761247,0.3164295738,0.1485843216,0.2779077126,0.6356107091,0.0027515615,0.0357702996,0.8447293839,0.1430811986,0.1018077759
職業科,私立,女,34125,1885,671,20951,3039,182,57,179,205,3,5,97,114,66,80.4512820513,5.5238095238,1.9663003663,61.3948717949,8.9054945055,0.5333333333,0.167032967,0.5245421245,0.6007326007,0.0087912088,0.0146520147,0.2842490842,0.3340659341,0.1934065934
綜合高中,國立,男,4612,1096,79,2685,76,9,0,0,0,1,81,91,14,17,89.960971379,23.7640936687,1.7129228101,58.2176929748,1.6478751084,0.1951431049,0,0,0,0.0216825672,1.7562879445,1.9731136167,0.303555941,0.3686036427
綜合高中,國立,女,5358,1182,81,3614,70,10,0,2,0,0,6,37,22,11,93.9716312057,22.0604703247,1.5117581187,67.4505412467,1.3064576334,0.1866368048,0,0.037327361,0,0,0.1119820829,0.6905561777,0.4106009705,0.2053004853
綜合高中,縣市立,男,1766,512,18,1101,20,4,0,0,0,0,8,19,3,0,95.4133635334,28.9920724802,1.0192525481,62.3442808607,1.1325028313,0.2265005663,0,0,0,0,0.4530011325,1.0758776897,0.1698754247,0
綜合高中,縣市立,女,1754,360,20,1237,40,1,0,0,0,0,1,6,4,2,95.267958951,20.5245153934,1.1402508552,70.5245153934,2.2805017104,0.0570125428,0,0,0,0,0.0570125428,0.3420752566,0.228050171,0.1140250855
綜合高中,私立,男,4563,483,53,3162,218,6,3,6,2,1,5,78,20,4,88.5601577909,10.5851413544,1.1615165461,69.2965154504,4.7775586237,0.1314924392,0.0657462196,0.1314924392,0.0438308131,0.0219154065,0.1095770327,1.7094017094,0.4383081306,0.0876616261
綜合高中,私立,女,5581,553,57,4293,196,3,1,1,1,0,0,14,58,1,92.7790718509,9.9086185271,1.0213223437,76.9216986203,3.5119154273,0.0537538076,0.0179179359,0.0179179359,0.0179179359,0,0,0.250851102,1.0392402795,0.0179179359
實用技能學程,國立,男,1978,95,124,625,259,13,7,4,11,0,0,26,0,0,58.8473205258,4.8028311426,6.268958544,31.5975733064,13.0940343782,0.6572295248,0.353892821,0.2022244692,0.5561172902,0,0,1.3144590495,0,0
實用技能學程,國立,女,1438,40,60,633,206,13,3,9,0,0,0,10,2,2,68.0111265647,2.7816411683,4.1724617524,44.0194714882,14.3254520167,0.9040333797,0.2086230876,0.6258692629,0,0,0,0.6954102921,0.1390820584,0.1390820584
實用技能學程,縣市立,男,246,5,4,52,69,0,0,0,2,0,0,1,0,0,54.0650406504,2.0325203252,1.6260162602,21.1382113821,28.0487804878,0,0,0,0.8130081301,0,0,0.406504065,0,0
實用技能學程,縣市立,女,155,6,9,52,31,0,0,0,0,0,0,0,0,0,63.2258064516,3.8709677419,5.8064516129,33.5483870968,20,0,0,0,0,0,0,0,0,0
實用技能學程,私立,男,4683,20,21,1181,583,7,13,29,63,13,5,36,3,9,42.3446508648,0.4270766603,0.4484304933,25.2188767884,12.4492846466,0.1494768311,0.2775998292,0.6192611574,1.3452914798,0.2775998292,0.1067691651,0.7687379885,0.064061499,0.1921844971
實用技能學程,私立,女,3804,42,44,1289,504,27,11,38,80,0,0,22,7,8,54.468980021,1.1041009464,1.1566771819,33.8853838065,13.2492113565,0.7097791798,0.2891692955,0.9989484753,2.1030494217,0,0,0.578338591,0.1840168244,0.2103049422
進修部(學校),國立,男,2770,60,140,356,494,6,6,4,16,0,1,15,0,7,39.8916967509,2.1660649819,5.0541516245,12.8519855596,17.8339350181,0.2166064982,0.2166064982,0.1444043321,0.5776173285,0,0.036101083,0.5415162455,0,0.2527075812
進修部(學校),國立,女,2142,39,182,308,469,4,11,7,27,0,0,3,2,22,50.1400560224,1.8207282913,8.4967320261,14.3790849673,21.8954248366,0.1867413632,0.5135387488,0.3267973856,1.2605042017,0,0,0.1400560224,0.0933706816,1.0270774977
進修部(學校),縣市立,男,923,21,31,236,235,2,0,0,10,0,0,2,1,0,58.2881906826,2.2751895991,3.3586132178,25.5687973998,25.4604550379,0.2166847237,0,0,1.0834236186,0,0,0.2166847237,0.1083423619,0
進修部(學校),縣市立,女,635,7,30,102,131,0,1,0,3,0,0,0,0,6,44.094488189,1.1023622047,4.7244094488,16.062992126,20.6299212598,0,0.157480315,0,0.4724409449,0,0,0,0,0.9448818898
進修部(學校),私立,男,7077,27,34,374,774,4,14,28,183,1,2,9,3,7,20.6302105412,0.3815175922,0.4804295605,5.284725166,10.9368376431,0.0565211248,0.1978239367,0.3956478734,2.5858414582,0.0141302812,0.0282605624,0.1271725307,0.0423908436,0.0989119683
進修部(學校),私立,女,5515,30,53,437,771,11,22,36,177,0,0,8,15,17,28.5947416138,0.5439709882,0.9610154125,7.9238440617,13.9800543971,0.199456029,0.398912058,0.6527651859,3.2094288305,0,0,0.1450589302,0.2719854941,0.3082502267
