學程別,設立別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警大_警專_軍校人數,赴國外_大陸就讀人數,升其他學校人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
普通科,國立,27679,12718,74,12810,55,2,0,2,1,828,249,6,7,0,13,0,1,4,12,1,46,2,0,0,0,3,85,2,0,9,20,10,109,17,506,3,9,10
普通科,縣市立,42125,17372,118,22263,182,0,0,4,0,629,294,9,6,1,25,17,0,14,14,6,53,3,2,0,10,14,92,8,5,20,20,71,117,22,542,4,17,43
普通科,私立,24465,6568,113,15341,373,4,0,14,1,474,699,6,17,0,6,0,0,8,6,3,43,0,0,0,4,5,51,0,1,17,20,9,73,17,399,6,29,8
專業群(職業)科,國立,24553,7253,1152,10891,700,114,41,11,5,339,14,3,152,11,405,55,3,89,164,36,529,10,6,3,165,85,250,7,27,81,246,80,732,308,210,31,6,118
專業群(職業)科,縣市立,14240,6216,428,5971,224,30,2,3,0,86,22,3,10,1,175,7,3,54,71,27,147,15,9,0,46,61,10,6,7,27,66,42,107,109,154,5,20,26
專業群(職業)科,私立,59632,4442,1448,31833,5156,149,171,294,345,430,188,39,218,38,1036,114,9,273,736,346,3630,163,29,12,1136,408,536,58,88,519,1428,286,1462,1314,411,138,115,315
綜合高中,國立,6744,1690,118,4122,122,8,0,3,1,121,52,1,6,3,28,1,0,6,17,3,61,3,1,0,19,8,44,1,3,13,43,7,72,16,87,2,3,13
綜合高中,縣市立,3763,1016,64,2438,25,4,0,0,0,38,4,1,1,0,7,1,0,2,7,2,22,1,1,0,4,1,17,0,0,6,11,3,9,5,60,0,6,2
綜合高中,私立,6017,708,110,4017,281,10,2,9,1,78,57,1,5,1,27,5,1,6,15,1,154,1,0,0,28,24,105,1,2,17,85,15,122,35,40,7,12,13
實用技能學程,國立,2527,131,76,960,232,21,10,12,4,22,1,0,39,2,134,6,1,23,60,8,180,3,3,1,56,24,31,3,3,64,53,20,138,80,16,9,1,14
實用技能學程,縣市立,492,13,9,151,73,5,5,3,3,0,0,0,2,0,46,1,0,10,22,0,41,4,1,0,28,5,2,1,0,11,3,1,24,10,0,3,0,1
實用技能學程,私立,6856,65,145,1988,624,39,28,16,72,32,4,25,79,13,240,59,11,61,218,105,1019,14,3,5,398,42,108,4,13,123,413,68,247,382,31,26,4,71
進修部(學校),國立,2911,60,129,386,371,21,21,5,24,16,3,18,42,7,322,24,3,78,137,50,322,15,14,6,33,75,38,5,8,80,158,12,160,85,13,9,3,97
進修部(學校),縣市立,2006,96,120,370,419,4,10,1,15,4,0,0,11,2,160,5,0,37,40,9,106,6,4,2,49,40,3,1,9,114,95,5,52,25,16,8,2,82
進修部(學校),私立,9632,53,83,469,1126,13,55,45,286,34,8,45,85,26,753,72,19,219,582,313,1392,134,109,44,440,373,44,19,73,517,790,35,321,470,37,51,16,224
