學程別,設立別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警大_警專_軍校人數,赴國外_大陸就讀人數,升其他學校人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
普通科,國立,25540,11148,79,11390,114,2,2,1,3,698,267,5,12,0,12,0,0,9,8,4,40,1,2,0,5,8,144,1,1,12,19,4,82,27,1211,3,8,19
普通科,縣市立,46978,18136,218,24331,305,1,13,22,9,607,498,7,12,2,24,5,2,19,17,4,86,8,2,0,4,11,149,7,3,49,53,16,121,25,2009,9,35,27
普通科,私立,26118,6620,178,15726,441,1,1,16,0,504,873,9,13,1,14,2,0,6,15,0,45,2,3,0,8,19,76,0,4,16,32,36,89,17,1202,29,65,14
專業群(職業)科,國立,23452,7358,1043,10118,637,118,21,9,13,319,17,2,120,5,294,53,8,71,194,56,561,22,2,1,161,116,532,15,21,77,228,119,314,327,177,18,15,87
專業群(職業)科,縣市立,15151,6425,433,6398,275,34,1,2,0,92,29,17,6,3,179,23,2,36,57,18,227,9,4,1,81,59,24,0,11,42,74,71,79,110,196,15,10,48
專業群(職業)科,私立,58375,4257,1365,31579,5253,189,139,145,210,440,146,45,219,19,871,143,14,229,667,286,3660,123,37,16,1181,500,980,53,96,431,1191,263,1264,1077,335,125,163,302
綜合高中,國立,5157,1207,46,3146,73,5,0,1,0,82,57,0,5,0,16,3,1,3,38,5,65,1,1,0,6,26,61,0,6,13,11,8,41,22,144,0,3,17
綜合高中,縣市立,3707,1011,51,2327,38,1,0,0,1,41,11,0,1,1,6,0,1,4,11,2,20,2,0,0,1,3,7,0,0,10,10,6,16,9,87,1,2,3
綜合高中,私立,5009,506,164,3371,162,1,4,3,0,74,64,9,5,1,14,10,0,16,15,3,111,8,6,1,11,25,163,7,4,24,42,8,57,26,67,5,9,9
實用技能學程,國立,2464,151,114,942,238,12,1,1,0,18,0,1,46,0,103,7,1,25,61,12,146,3,6,0,52,28,79,1,4,65,41,11,88,74,11,15,3,25
實用技能學程,縣市立,453,14,42,68,125,0,2,1,2,0,0,5,1,0,62,0,0,9,1,1,33,2,0,0,12,11,5,0,0,2,16,2,20,6,3,0,0,3
實用技能學程,私立,6858,89,63,2067,696,26,9,19,71,50,2,8,52,6,227,52,1,79,188,102,1113,26,9,6,248,45,164,11,12,95,406,58,285,429,28,20,5,39
進修部(學校),國立,2355,76,106,292,309,0,16,0,37,7,2,1,38,4,264,15,1,48,116,27,227,5,27,3,76,53,58,4,23,90,110,7,124,58,24,13,4,43
進修部(學校),縣市立,1825,50,129,399,277,2,7,5,11,4,2,13,4,2,145,9,1,33,70,39,109,8,10,3,30,72,19,3,24,47,63,8,61,16,13,2,1,82
進修部(學校),私立,7580,62,55,430,1025,10,23,52,339,22,4,0,92,13,510,65,10,199,457,197,1078,53,49,17,353,167,63,16,41,390,528,46,205,400,35,34,14,179
