學程別,設立別,性別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
專業群科,私立,男,22544,1796,517,11231,1923,60,35,44,57,0,8,242,17,43,70.85,7.97,2.29,49.82,8.53,0.27,0.16,0.2,0.25,0,0.04,1.07,0.08,0.19
專業群科,私立,女,21944,1868,644,13046,1662,61,41,66,64,3,1,91,24,47,80.29,8.51,2.93,59.45,7.57,0.28,0.19,0.3,0.29,0.01,0,0.41,0.11,0.21
綜合高中,國立,男,2021,617,23,1112,25,3,0,0,0,0,8,40,3,1,90.65,30.53,1.14,55.02,1.24,0.15,0,0,0,0,0.4,1.98,0.15,0.05
綜合高中,國立,女,2727,681,21,1781,26,4,0,0,0,0,0,33,12,0,93.8,24.97,0.77,65.31,0.95,0.15,0,0,0,0,0,1.21,0.44,0
綜合高中,縣市立,男,1226,297,17,769,17,0,0,0,0,0,6,14,0,0,91.35,24.23,1.39,62.72,1.39,0,0,0,0,0,0.49,1.14,0,0
綜合高中,縣市立,女,1414,260,15,1053,11,0,0,0,0,0,0,3,1,0,94.98,18.39,1.06,74.47,0.78,0,0,0,0,0,0,0.21,0.07,0
綜合高中,私立,男,1556,223,14,970,74,0,0,0,0,0,1,22,11,3,84.7,14.33,0.9,62.34,4.76,0,0,0,0,0,0.06,1.41,0.71,0.19
綜合高中,私立,女,1758,211,21,1242,78,1,0,1,0,0,0,6,17,2,89.82,12,1.19,70.65,4.44,0.06,0,0.06,0,0,0,0.34,0.97,0.11
實用技能學程,國立,男,1247,95,43,471,96,9,1,2,6,0,0,8,0,0,58.62,7.62,3.45,37.77,7.7,0.72,0.08,0.16,0.48,0,0,0.64,0,0
實用技能學程,國立,女,871,51,37,419,74,4,9,4,4,0,0,4,0,1,69.69,5.86,4.25,48.11,8.5,0.46,1.03,0.46,0.46,0,0,0.46,0,0.11
實用技能學程,縣市立,男,259,13,39,25,67,0,0,0,5,0,0,0,0,0,57.53,5.02,15.06,9.65,25.87,0,0,0,1.93,0,0,0,0,0
實用技能學程,縣市立,女,112,5,12,13,38,0,1,0,1,0,0,0,0,0,62.5,4.46,10.71,11.61,33.93,0,0.89,0,0.89,0,0,0,0,0
實用技能學程,私立,男,3384,39,37,824,548,1,1,2,18,0,3,18,2,1,44.15,1.15,1.09,24.35,16.19,0.03,0.03,0.06,0.53,0,0.09,0.53,0.06,0.03
實用技能學程,私立,女,2496,50,19,845,374,3,4,7,20,0,5,1,1,0,53.25,2,0.76,33.85,14.98,0.12,0.16,0.28,0.8,0,0.2,0.04,0.04,0
進修部,國立,男,1244,31,50,139,164,3,13,2,5,0,0,11,0,12,34.57,2.49,4.02,11.17,13.18,0.24,1.05,0.16,0.4,0,0,0.88,0,0.96
進修部,國立,女,765,22,39,96,97,1,8,1,6,0,0,2,0,14,37.39,2.88,5.1,12.55,12.68,0.13,1.05,0.13,0.78,0,0,0.26,0,1.83
進修部,縣市立,男,926,48,65,143,161,1,2,0,4,0,2,1,0,3,46.44,5.18,7.02,15.44,17.39,0.11,0.22,0,0.43,0,0.22,0.11,0,0.32
進修部,縣市立,女,544,24,47,97,63,2,0,0,1,0,0,0,1,2,43.57,4.41,8.64,17.83,11.58,0.37,0,0,0.18,0,0,0,0.18,0.37
進修部,私立,男,3587,19,39,206,378,3,15,5,106,0,2,5,4,2,21.86,0.53,1.09,5.74,10.54,0.08,0.42,0.14,2.96,0,0.06,0.14,0.11,0.06
進修部,私立,女,2922,10,58,185,349,1,17,20,149,0,0,2,1,6,27.31,0.34,1.98,6.33,11.94,0.03,0.58,0.68,5.1,0,0,0.07,0.03,0.21
