學程別,設立別,性別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
普通科,國立,男,12072,5844,70,4753,50,1,1,2,0,28,93,338,98,1,93.43,48.41,0.58,39.37,0.41,0.01,0.01,0.02,0,0.23,0.77,2.8,0.81,0.01
普通科,國立,女,12356,5182,64,6323,56,0,0,1,1,4,10,155,78,1,96.11,41.94,0.52,51.17,0.45,0,0,0.01,0.01,0.03,0.08,1.25,0.63,0.01
普通科,縣市立,男,22180,9356,65,10879,138,2,0,1,1,32,76,300,104,1,94.48,42.18,0.29,49.05,0.62,0.01,0,0,0,0.14,0.34,1.35,0.47,0
普通科,縣市立,女,23872,8865,62,13771,105,0,0,0,0,11,9,153,160,1,96.92,37.14,0.26,57.69,0.44,0,0,0,0,0.05,0.04,0.64,0.67,0
普通科,私立,男,10547,3344,103,5749,108,2,0,2,1,28,48,242,283,4,94,31.71,0.98,54.51,1.02,0.02,0,0.02,0.01,0.27,0.46,2.29,2.68,0.04
普通科,私立,女,10601,2830,134,6716,150,1,0,0,1,8,2,100,311,2,96.74,26.7,1.26,63.35,1.41,0.01,0,0,0.01,0.08,0.02,0.94,2.93,0.02
專業群科,國立,男,13007,4580,599,4685,355,89,11,6,5,1,10,177,4,9,80.96,35.21,4.61,36.02,2.73,0.68,0.08,0.05,0.04,0.01,0.08,1.36,0.03,0.07
專業群科,國立,女,9076,3127,281,4312,163,32,14,5,2,0,3,69,1,8,88.33,34.45,3.1,47.51,1.8,0.35,0.15,0.06,0.02,0,0.03,0.76,0.01,0.09
專業群科,縣市立,男,9216,4330,282,3305,203,25,6,1,2,2,3,64,3,1,89.27,46.98,3.06,35.86,2.2,0.27,0.07,0.01,0.02,0.02,0.03,0.69,0.03,0.01
專業群科,縣市立,女,5747,2457,129,2669,63,7,5,0,6,0,1,21,3,2,93.32,42.75,2.24,46.44,1.1,0.12,0.09,0,0.1,0,0.02,0.37,0.05,0.03
