學程別,設立別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警大_警專_軍校人數,赴國外_大陸就讀人數,升其他學校人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
普通科,國立,24428,11026,134,11076,106,1,1,3,1,628,176,2,5,1,15,2,2,6,16,4,30,0,1,0,8,16,126,0,3,10,19,6,53,20,817,12,9,16
普通科,縣市立,46052,18221,127,24650,243,2,0,1,1,581,264,2,9,10,17,4,2,8,27,8,59,3,4,0,8,21,136,4,1,29,32,26,145,11,1249,13,25,33
普通科,私立,21148,6174,237,12465,258,3,0,2,2,428,594,6,10,0,10,0,0,6,5,3,38,4,1,1,10,2,37,1,1,29,11,19,62,12,631,2,52,21
專業群(職業)科,國立,22083,7707,880,8997,518,121,25,11,7,260,5,17,157,4,324,53,12,103,177,59,560,15,6,1,151,109,498,5,12,48,168,75,239,279,148,34,3,106
專業群(職業)科,縣市立,14963,6787,411,5974,266,32,11,1,8,91,6,3,11,0,286,10,2,30,55,23,162,23,5,0,76,74,43,1,9,29,80,42,61,129,122,9,11,58
專業群(職業)科,私立,44488,3664,1161,24277,3585,121,76,110,121,345,41,90,131,31,682,85,23,203,478,183,2643,87,26,6,749,220,882,36,71,434,1010,179,752,1048,225,89,75,264
綜合高中,國立,4748,1298,44,2893,51,7,0,0,0,81,15,1,4,0,19,1,0,3,10,2,59,0,1,0,4,10,51,0,1,3,15,3,21,14,96,0,1,6
綜合高中,縣市立,2640,557,32,1822,28,0,0,0,0,23,1,0,0,0,8,0,1,1,3,2,18,0,0,0,1,0,31,0,0,7,9,2,14,4,67,1,1,3
綜合高中,私立,3314,434,35,2212,152,1,0,1,0,29,28,5,3,1,19,6,1,3,10,2,69,2,1,0,1,21,117,3,2,13,43,2,28,15,31,3,3,13
實用技能學程,國立,2118,146,80,890,170,13,10,6,10,12,0,1,35,0,66,3,3,36,59,14,139,3,1,1,19,33,88,0,4,13,50,5,57,60,6,2,0,7
實用技能學程,縣市立,371,18,51,38,105,0,1,0,6,0,0,0,0,1,24,2,0,6,11,3,16,1,0,0,38,2,3,0,0,2,1,3,9,10,7,1,0,12
實用技能學程,私立,5880,89,56,1669,922,4,5,9,38,27,3,1,54,2,227,40,5,119,125,108,829,16,10,2,190,49,161,4,6,72,331,53,196,307,23,21,2,32
進修部(學校),國立,2009,53,89,235,261,4,21,3,11,13,0,26,40,2,201,13,2,63,102,37,213,11,4,6,40,48,35,0,19,74,115,4,81,72,10,15,1,39
進修部(學校),縣市立,1470,72,112,240,224,3,2,0,5,3,1,5,2,1,144,11,0,38,42,20,75,7,16,1,55,22,17,6,16,38,88,10,44,20,11,8,0,61
進修部(學校),私立,6509,29,97,391,727,4,32,25,255,9,5,8,66,18,415,45,13,227,422,188,1032,23,44,51,224,150,55,9,58,438,408,38,154,282,27,32,11,157
