學程別,設立別,畢業生人數,升公立大學日間部人數,升公立大學進修學士班人數,升私立大學日間部人數,升私立大學進修學士班人數,升公立二專日間部人數,升公立二專夜間部人數,升私立二專日間部人數,升私立二專夜間部人數,升警大_警專_軍校人數,赴國外_大陸就讀人數,升其他學校人數,就農_林_漁_牧業人數,就礦業及土石採取業人數,就製造業人數,就電力及燃氣供應業人數,就用水供應及污染整治業人數,就營造業人數,就批發及零售業人數,就運輸及倉儲業人數,就住宿及餐飲業人數,就資訊及通訊傳播業人數,就金融及保險業人數,就不動產業人數,就專業_科學及技術服務業人數,就支援服務業人數,就公共行政及國防；強制性社會安全人數,就教育服務業人數,就醫療保健及社會工作服務業人數,就藝術_娛樂及休閒服務業人數,就其他服務業人數,正在接受職業訓練人數,正在軍中服役人數,需要工作而未找到人數,補習或準備升學人數,健康不良在家休養人數,準備出國人數,其他人數
普通科,國立,25395,11077,129,11455,114,1,0,0,0,826,305,25,11,4,18,0,1,14,8,3,49,5,4,0,8,22,101,4,1,30,29,17,76,14,893,6,9,75
普通科,縣市立,47494,19132,161,24432,274,12,0,2,0,711,539,7,24,0,22,6,0,19,7,3,78,5,5,0,5,13,179,3,2,48,32,11,136,46,1357,11,39,64
普通科,私立,27751,6745,141,17481,380,0,1,1,0,622,976,4,30,1,9,2,0,6,6,5,66,3,0,0,3,27,58,4,5,21,22,26,80,30,835,14,88,16
專業群(職業)科,國立,23032,6830,1043,9914,715,141,19,9,9,285,21,2,179,4,380,47,5,94,180,52,560,19,13,3,200,56,497,2,15,90,207,82,422,348,232,26,11,99
專業群(職業)科,縣市立,15003,6361,445,6401,214,46,1,1,1,99,36,4,8,0,207,25,1,11,57,15,138,5,5,0,100,64,36,4,4,54,43,48,88,110,246,19,16,14
專業群(職業)科,私立,63373,4530,1352,34349,6069,185,108,278,296,557,164,54,204,28,1041,118,16,284,811,296,3731,118,29,16,939,501,1025,63,71,709,1298,222,1104,1353,483,131,127,293
綜合高中,國立,5912,1431,83,3553,94,6,0,0,1,135,37,0,11,1,34,1,0,5,16,3,73,4,3,1,6,5,96,1,0,21,37,15,51,25,96,2,3,28
綜合高中,縣市立,3972,1050,32,2552,22,0,0,0,0,71,10,4,0,1,7,0,0,0,7,1,38,1,0,0,2,1,16,2,0,6,14,2,13,7,79,0,2,8
綜合高中,私立,5962,625,120,4043,225,8,2,36,9,83,61,6,12,3,26,10,0,17,21,7,138,2,2,0,14,37,125,10,0,15,55,6,89,53,44,6,14,17
實用技能學程,國立,2497,145,144,918,216,21,13,3,1,20,1,21,37,0,116,10,1,30,61,13,200,5,1,0,24,23,64,2,5,68,69,8,68,71,13,10,0,13
實用技能學程,縣市立,615,24,22,145,91,6,4,4,1,1,0,0,2,0,91,0,0,9,32,1,40,3,0,0,24,7,12,0,3,25,8,2,24,12,2,2,1,9
實用技能學程,私立,6894,78,38,1909,871,47,15,14,75,23,1,39,102,4,248,37,3,89,242,103,1028,16,2,2,289,110,161,7,10,82,446,32,250,349,31,25,2,53
進修部(學校),國立,2809,70,90,370,316,9,33,9,38,14,3,25,55,5,346,22,8,66,156,48,300,10,13,6,63,51,33,6,15,95,144,10,154,59,25,13,3,66
進修部(學校),縣市立,1986,58,164,370,438,12,11,0,15,6,5,13,4,0,159,3,1,26,63,21,91,9,8,2,55,19,15,4,14,83,85,4,32,32,22,5,2,90
進修部(學校),私立,8593,57,76,467,1059,12,106,3,223,11,4,10,100,19,667,87,4,184,485,218,1231,76,85,26,454,312,57,17,42,522,721,33,372,416,60,26,12,148
